Time,nvme0n1
0,0.740
15,0.440
30,2.46
45,2.14
60,0.140
75,1.42
90,4.26
105,4.84
120,5.80
135,6.78
150,8.86
165,10.4
180,19.7
195,27.2
210,0.300
225,1.32
240,17.1
255,0.220
270,0.200
285,0.260
300,0.580
315,0.540
330,0.240
345,0.280
