Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
1600,19,0,0
1605,19.6,0,0
1610,20.3,0,0
1615,20.9,0,0
1620,21.8,0,0
1625,22.5,0,0
1630,23.5,0,0
1635,24.3,0,0
1640,25.5,0,0
1645,26.5,0,0
1650,27.8,0,0
1655,29,0,0
1660,30.5,0,0
1665,32.1,0,0
1670,34,0,0
1675,35.9,0,0
1680,38.2,0,0
1685,40.8,0,0
1690,43.8,0,0
1695,47.3,0,0
1700,51.3,0,0
1705,56.1,0,0
1710,61.8,0,0
1715,69.1,0,0
1720,78.1,0,0
1725,89.9,0,0
1730,97.5,0,0
1735,88.6,0,0
1740,76.7,0,0
1745,69,0,0
1750,78.1,0,0
1755,68.5,0,0
1760,42.8,0,0
1765,13.2,0,0
1770,0,0,0
1775,0,0,0
1780,0,0,0
1785,0,0,0
1790,0,0,0
1795,0,0,0
1800,0,0,0
1805,0,0,0
1810,0,0,0
1825,0.848,0.848,
1830,1.26,1.26,
1835,1.13,1.13,
1840,0.533,0.533,
1845,0,0,
1850,0,0,
1855,0,0,
1860,0,0,
1865,0,0,
1870,0.733,0.667,
1875,6.57,6.57,8.12
1880,13.9,13.9,14.5
1885,26.7,26.8,26.8
1890,39.8,39.7,39.6
1895,48.1,48.1,48.3
1900,49.3,49.3,48.9
1905,42.9,42.9,42.5
1910,34.5,34.5,33.9
1915,20.5,20.5,20.4
1920,10.3,10.3,10.4
1925,2.07,2.07,2.10
1930,0,0,0
1935,0,0,0
1940,0,0,0
1945,0,0,0
1950,13.1,13.1,14.6
1955,57.2,57.2,60.2
1960,120,120,124
1965,188,188,190
1970,227,227,228
1975,248,248,247
1980,237,237,235
1985,193,193,190
1990,130,130,126
1995,62.1,62.1,60.5
2000,22.7,22.7,22.9
2005,1.93,1.93,2.93
2010,0,0,0
2015,0,0,0
2020,0,0,0
2025,0,0,0
2030,0,0,1.83
2035,44.2,44.1,48.3
2040,154,154,159
2045,297,297,302
2050,419,419,422
2055,476,476,478
2060,500,500,498
2065,456,456,452
2070,346,346,341
2075,204,204,199
2080,80.9,80.9,78.5
2085,23.8,23.9,22.4
2090,0,0,0.0500
2095,0,0,0
2100,0,0,0
2105,0,0,0
2110,0,0,3.67
2115,38.5,38.5,39.8
2120,85.4,85.4,89.7
2125,166,166,165
2130,233,233,238
2135,340,340,342
2140,412,412,415
2145,459,459,459
2150,459,458,459
2155,462,462,462
2160,466,466,466
2165,474,474,474
2170,480,480,481
2175,492,492,493
2180,501,501,502
2185,508,508,507
2190,507,507,506
2195,508,508,508
2200,512,512,513
2205,520,520,520
2210,527,527,527
2215,537,537,537
2220,547,547,548
2225,556,556,556
2230,560,560,560
2235,560,560,563
2240,584,584,585
2245,614,614,616
2250,660,660,656
2255,688,688,687
2260,726,726,721
2265,742,742,739
2270,750,749,745
2275,740,739,741
2280,743,743,744
2285,746,746,749
2290,753,753,753
2295,750,750,749
2300,750,750,749
2305,746,745,740
2310,740,739,737
2315,729,729,729
2320,731,732,736
2325,737,738,739
2330,746,745,747
2335,743,743,739
2340,741,741,743
2345,739,740,738
2350,742,742,747
2355,745,745,740
2360,742,742,741
2365,736,736,730
2370,727,727,730
2375,730,731,725
2380,723,723,727
2385,725,725,723
2390,717,717,721
2395,723,723,720
2400,717,718,717
2405,717,716,715
2410,713,708,706
2415,694,694,702
2420,673,674,679
2425,611,616,626
2430,510,510,501
2435,293,293,288
2440,117,117,110
2445,0,0,0.267
2450,0,0,0
2455,0,0,0
2460,0,0,0
2465,0.133,0.133,5.49
2470,156,156,166
2475,397,396,404
2480,603,603,602
2485,511,511,501
2490,270,271,263
2495,63.2,63.3,59.1
2500,0,0,0.175
2505,0,0,0
2510,0,0,0
2515,0.667,0,0
2520,1.93,0,0
2525,5.27,0,0
2530,8.13,0.0667,0
2535,10.3,0.133,0
2540,10.5,0.200,0
2545,10.6,0.133,0
2550,10.8,0.0667,0
2555,11.1,0,0
2560,11.3,0,0
2565,11.6,0,0
2570,11.6,0,0
2575,11.9,0,0
2580,12.1,0,0
2585,12.4,0,0
2590,12.7,0,0
2595,13,0,0
2600,13.3,0,0
2605,13.5,0,0
2610,13.8,0,0
2615,14.3,0,0
2620,14.5,0,0
2625,14.9,0,0
2630,15.2,0,0
2635,15.7,0,0
2640,16,0,0
