Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
5,0.595,0.595,
10,0.681,0.681,
15,0.600,0.600,
20,0.200,0.200,
25,0,0,
30,0,0,
35,1.07,1.07,
40,5.34,5.34,6.31
45,18.0,18.0,18.8
50,32.5,32.5,32.3
55,46.4,46.4,45.8
60,50.1,50.1,50.2
65,48.9,48.9,49
70,44.4,44.4,44.3
75,29.9,29.9,30.5
80,14.3,14.3,14.9
85,2.27,2.27,3.10
90,0,0,0.0667
95,1.07,1.07,1.50
100,31.3,31.3,30.5
105,108,108,106
110,191,191,188
115,244,244,242
120,250,250,250
125,249,249,248
130,219,219,219
135,142,142,144
140,59.6,59.6,62.9
145,6.40,6.40,8.77
150,0,0,0
155,15.3,15.3,13.7
160,128,128,124
165,295,295,290
170,446,446,443
175,500,500,499
180,500,500,500
185,485,485,486
190,372,372,376
195,206,206,211
200,54.2,54.2,58.0
205,0,0,1.03
210,0,0,0
215,31.3,31.3,30.5
220,133,133,130
225,289,289,284
230,418,418,414
235,477,478,475
240,481,482,482
245,482,482,482
250,483,483,483
255,486,486,485
260,495,495,495
265,512,512,512
270,530,530,530
275,540,540,540
280,543,543,543
285,543,543,543
290,543,543,543
295,544,544,544
300,552,552,552
305,571,571,570
310,595,595,594
315,612,612,612
320,619,619,619
325,620,620,619
330,619,619,619
335,619,619,619
340,652,652,651
345,727,727,725
350,838,838,834
355,920,920,917
360,961,961,959
365,966,966,966
370,967,967,968
375,969,969,969
380,969,969,970
385,970,969,970
390,967,967,968
395,970,970,969
400,970,971,970
405,969,969,969
410,968,968,968
415,967,967,968
420,969,969,970
425,970,970,970
430,969,970,969
435,970,970,970
440,968,968,969
445,966,966,966
450,967,966,965
455,961,961,962
460,961,961,960
465,960,960,960
470,964,964,964
475,967,967,969
480,973,972,973
485,971,971,972
490,966,966,965
495,963,963,963
500,965,965,964
505,971,970,970
510,967,967,967
515,922,922,924
520,786,786,788
525,483,483,493
530,206,206,214
535,16.6,16.6,26.2
540,160,160,152
545,462,461,452
550,666,666,659
555,506,506,514
560,205,206,215
565,0,0,7.90
570,2,0,0
575,4.87,0,0
580,8.33,0,0
585,9.80,0,0
590,10.6,0,0
595,10.6,0,0
600,10.8,0,0
605,10.9,0,0
610,11.3,0,0
615,11.5,0,0
620,11.7,0,0
625,11.9,0,0
630,12.1,0,0
635,12.5,0,0
640,12.6,0,0
645,13,0,0
650,13.2,0,0
655,13.5,0,0
660,13.8,0,0
665,14.1,0,0
670,14.5,0,0
675,14.8,0,0
680,15.2,0,0
685,15.6,0,0
690,15.9,0,0
695,16.5,0,0
700,16.8,0,0
705,17.5,0,0
710,17.7,0,0
715,18.4,0,0
720,19,0,0
725,19.6,0,0
730,20.3,0,0
735,20.9,0,0
740,21.8,0,0
745,22.5,0,0
750,23.5,0,0
755,24.3,0,0
760,25.5,0,0
765,26.5,0,0
770,27.8,0,0
775,29,0,0
780,30.5,0,0
785,32.1,0,0
790,34,0,0
795,35.9,0,0
800,38.2,0,0
805,40.8,0,0
810,43.8,0,0
815,47.3,0,0
820,51.3,0,0
825,56.1,0,0
830,61.8,0,0
835,69.1,0,0
840,78.1,0,0
845,89.9,0,0
850,97.5,0,0
855,88.6,0,0
860,76.7,0,0
865,69,0,0
870,78.1,0,0
875,68.5,0,0
880,42.8,0,0
885,13.2,0,0
890,0,0,0
895,0,0,0
900,0,0,0
905,0,0,0
910,0,0,0
915,0,0,0
920,0,0,0
925,0,0,0
930,0,0,0
