Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
5,0.848,0.848,
10,1.26,1.26,
15,1.13,1.13,
20,0.533,0.533,
25,0,0,
30,0,0,
35,0,0,
40,0,0,
45,0,0,
50,0.733,0.667,
55,6.57,6.57,8.12
60,13.9,13.9,14.5
65,26.7,26.8,26.8
70,39.8,39.7,39.6
75,48.1,48.1,48.3
80,49.3,49.3,48.9
85,42.9,42.9,42.5
90,34.5,34.5,33.9
95,20.5,20.5,20.4
100,10.3,10.3,10.4
105,2.07,2.07,2.10
110,0,0,0
115,0,0,0
120,0,0,0
125,0,0,0
130,13.1,13.1,14.6
135,57.2,57.2,60.2
140,120,120,124
145,188,188,190
150,227,227,228
155,248,248,247
160,237,237,235
165,193,193,190
170,130,130,126
175,62.1,62.1,60.5
180,22.7,22.7,22.9
185,1.93,1.93,2.93
190,0,0,0
195,0,0,0
200,0,0,0
205,0,0,0
210,0,0,1.83
215,44.2,44.1,48.3
220,154,154,159
225,297,297,302
230,419,419,422
235,476,476,478
240,500,500,498
245,456,456,452
250,346,346,341
255,204,204,199
260,80.9,80.9,78.5
265,23.8,23.9,22.4
270,0,0,0.0500
275,0,0,0
280,0,0,0
285,0,0,0
290,0,0,3.67
295,38.5,38.5,39.8
300,85.4,85.4,89.7
305,166,166,165
310,233,233,238
315,340,340,342
320,412,412,415
325,459,459,459
330,459,458,459
335,462,462,462
340,466,466,466
345,474,474,474
350,480,480,481
355,492,492,493
360,501,501,502
365,508,508,507
370,507,507,506
375,508,508,508
380,512,512,513
385,520,520,520
390,527,527,527
395,537,537,537
400,547,547,548
405,556,556,556
410,560,560,560
415,560,560,563
420,584,584,585
425,614,614,616
430,660,660,656
435,688,688,687
440,726,726,721
445,742,742,739
450,750,749,745
455,740,739,741
460,743,743,744
465,746,746,749
470,753,753,753
475,750,750,749
480,750,750,749
485,746,745,740
490,740,739,737
495,729,729,729
500,731,732,736
505,737,738,739
510,746,745,747
515,743,743,739
520,741,741,743
525,739,740,738
530,742,742,747
535,745,745,740
540,742,742,741
545,736,736,730
550,727,727,730
555,730,731,725
560,723,723,727
565,725,725,723
570,717,717,721
575,723,723,720
580,717,718,717
585,717,716,715
590,713,708,706
595,694,694,702
600,673,674,679
605,611,616,626
610,510,510,501
615,293,293,288
620,117,117,110
625,0,0,0.267
630,0,0,0
635,0,0,0
640,0,0,0
645,0.133,0.133,5.49
650,156,156,166
655,397,396,404
660,603,603,602
665,511,511,501
670,270,271,263
675,63.2,63.3,59.1
680,0,0,0.175
685,0,0,0
690,0,0,0
695,0.667,0,0
700,1.93,0,0
705,5.27,0,0
710,8.13,0.0667,0
715,10.3,0.133,0
720,10.5,0.200,0
725,10.6,0.133,0
730,10.8,0.0667,0
735,11.1,0,0
740,11.3,0,0
745,11.6,0,0
750,11.6,0,0
755,11.9,0,0
760,12.1,0,0
765,12.4,0,0
770,12.7,0,0
775,13,0,0
780,13.3,0,0
785,13.5,0,0
790,13.8,0,0
795,14.3,0,0
800,14.5,0,0
805,14.9,0,0
810,15.2,0,0
815,15.7,0,0
820,16,0,0
825,16.5,0,0
830,16.8,0,0
835,17.4,0,0
840,17.9,0,0
845,18.5,0,0
850,19.1,0,0
855,19.7,0,0
860,20.4,0,0
865,21.1,0,0
870,21.8,0,0
875,22.6,0,0
880,23.5,0,0
885,24.5,0,0
890,25.5,0,0
895,26.7,0,0
900,27.8,0,0
905,29.3,0,0
910,30.7,0,0
915,32.5,0,0
920,34.1,0,0
925,36.1,0,0
930,38.4,0,0
935,41.1,0,0
940,44.2,0,0
945,47.7,0,0
950,51.9,0,0
955,56.7,0,0
960,62.7,0,0
965,70,0,0
970,79.5,0,0
975,91.9,0,0
980,96.7,0,0
985,87.1,0,0
990,74.8,0,0
995,70,0,0
1000,79.3,0,0
1005,56,0,0
1010,29.9,0,0
1015,0,0,0
1020,0,0,0
1025,0,0,0
1030,0,0,0
1035,0,0,0
1040,0,0,0
1045,0,0,0
