"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 04:47:00,0.467,77.7,204,78.9,,,,,,,,,,,,,,
2026-04-20 04:47:05,0.467,78.4,204,78.3,,,,,,,,,,,,,,
2026-04-20 04:47:10,0.400,78.6,205,78.7,,,,,,,,,,,,,,
2026-04-20 04:47:15,0.333,78.4,206,79.1,,,,,,,,,,,,,,
2026-04-20 04:47:20,0.400,78.1,207,79.7,,,,,,,,,,,,,,
2026-04-20 04:47:25,0.467,77.9,207,81.0,,,,,,,,,,,,,,
2026-04-20 04:47:30,0.467,78.0,207,79.7,,,,,,,,,,,,,,
2026-04-20 04:47:35,0.400,77.9,208,79.9,,,,,,,,,,,,,,
2026-04-20 04:47:40,0.400,77.9,208,80.5,,,,,,,,,,,,,,
2026-04-20 04:47:45,0.467,78.0,210,81.2,,,,,,,,,,,,,,
2026-04-20 04:47:50,0.467,78.1,211,82.8,,,,,,,,,,,,,,
2026-04-20 04:47:55,0.400,78.2,212,83.2,,,,,,,,,,,,,,
2026-04-20 04:48:00,0.333,78.4,211,84.1,,,,,,,,,,,,,,
2026-04-20 04:48:05,0.467,78.4,207,80.7,,,,,,,,,,,,,,
2026-04-20 04:48:10,0.467,78.4,205,79.5,,,,,,,,,,,,,,
2026-04-20 04:48:15,0.533,78.1,206,79.1,,,,,,,,,,,,,,
2026-04-20 04:48:20,0.400,78.0,208,79.3,,,,,,,,,,,,,,
2026-04-20 04:48:25,0.467,78.2,206,79.9,,,,,,,,,,,,,,
2026-04-20 04:48:30,0.467,78.5,207,80.1,,,,,,,,,,,,,,
2026-04-20 04:48:35,0.400,78.7,207,80.4,,,,,,,,,,,,,,
2026-04-20 04:48:40,0.400,78.5,207,80.1,,,,,,,,,,,,,,
2026-04-20 04:48:45,0.400,78.5,208,80.7,,,,,,,,,,,,,,
2026-04-20 04:48:50,0.400,78.6,208,82.2,,,,,,,,,,,,,,
2026-04-20 04:48:55,0.467,78.9,211,82.8,,,,,,,,,,,,,,
2026-04-20 04:49:00,0.400,76.4,211,82.9,,,,,,,,,,,,,,
2026-04-20 04:49:05,0.467,54.5,177,74.7,,,,,,,,,,,,,,
2026-04-20 04:49:10,0.400,28.0,107,48.7,,,,,,,,,,,,,,
2026-04-20 04:49:15,0.333,4.47,36.7,21.1,,,,,,,,,,,,,,
2026-04-20 04:49:20,0.333,7.13,1.07,1.93,,,,,,,,,,,,,,
2026-04-20 04:49:25,0.333,32.7,57.1,15.8,,,,,,,,,,,,,,
2026-04-20 04:49:30,0.400,48.9,127,43.6,,,,,,,,,,,,,,
2026-04-20 04:49:35,0.400,42.0,130,51.1,,,,,,,,,,,,,,
2026-04-20 04:49:40,0.400,16.4,73.9,36.0,,,,,,,,,,,,,,
2026-04-20 04:49:45,0.333,0.200,4.60,8.20,,,,,,,,,,,,,,
2026-04-20 04:49:50,0.333,0.0667,137,0.733,,,,,,,,,,,,,,
2026-04-20 04:49:55,0.333,0.133,392,0.600,,,,,,,,,,,,,,
2026-04-20 04:50:00,0.333,0.0667,685,0.667,,,,,,,,,,,,,,
2026-04-20 04:50:05,0.400,0.0667,863,0.667,,,,,,,,,,,,,,
2026-04-20 04:50:10,0.400,0.0667,933,0.733,,,,,,,,,,,,,,
2026-04-20 04:50:15,0.467,0.0667,967,0.733,,,,,,,,,,,,,,
2026-04-20 04:50:20,0.400,0.0667,977,0.733,,,,,,,,,,,,,,
2026-04-20 04:50:25,0.467,0.133,978,0.733,,,,,,,,,,,,,,
2026-04-20 04:50:30,0.533,0.133,973,0.733,,,,,,,,,,,,,,
2026-04-20 04:50:35,0.533,0.133,971,0.667,,,,,,,,,,,,,,
2026-04-20 04:50:40,0.467,0.0667,955,0.800,,,,,,,,,,,,,,
2026-04-20 04:50:45,0.400,0.0667,948,0.733,,,,,,,,,,,,,,
2026-04-20 04:50:50,0.467,0.0667,934,0.800,,,,,,,,,,,,,,
2026-04-20 04:50:55,0.467,0.0667,939,0.667,,,,,,,,,,,,,,
2026-04-20 04:51:00,0.533,0.0667,934,0.733,,,,,,,,,,,,,,
2026-04-20 04:51:05,0.467,0.0667,938,0.733,,,,,,,,,,,,,,
2026-04-20 04:51:10,0.533,0.0667,939,0.733,,,,,,,,,,,,,,
2026-04-20 04:51:15,0.467,0.0667,942,0.800,,,,,,,,,,,,,,
2026-04-20 04:51:20,0.467,0.0667,945,0.733,,,,,,,,,,,,,,
2026-04-20 04:51:25,0.400,0.0667,936,0.867,,,,,,,,,,,,,,
2026-04-20 04:51:30,0.467,0.133,935,0.733,,,,,,,,,,,,,,
2026-04-20 04:51:35,0.467,0.200,939,0.867,,,,,,,,,,,,,,
