Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
3,0.000786,NaN,0.00263,NaN,NaN,NaN,NaN,0.00230,0.00239,0.00280,0.00232,0.00222,NaN,0.00241,0.00214,0.00238,NaN
8,0.000857,0.00234,0.00217,0.00232,0.00245,0.00219,0.00226,0.00226,0.00226,0.00218,0.00234,0.00227,0.00241,0.00230,0.00217,0.00221,0.00221
13,0.000841,0.00241,0.00230,0.00236,0.00246,0.00222,0.00235,0.00227,0.00229,0.00229,0.00227,0.00225,0.00244,0.00242,0.00230,0.00219,0.00224
18,0.000827,0.00242,0.00228,0.00235,0.00236,0.00224,0.00235,0.00228,0.00233,0.00224,0.00226,0.00224,0.00235,0.00236,0.00234,0.00224,0.00223
23,0.000789,0.00237,0.00230,0.00223,0.00223,0.00225,0.00225,0.00216,0.00231,0.00221,0.00220,0.00220,0.00224,0.00229,0.00225,0.00220,0.00228
28,0.000780,0.00227,0.00218,0.00217,0.00216,0.00226,0.00218,0.00211,0.00229,0.00220,0.00217,0.00217,0.00211,0.00220,0.00216,0.00219,0.00217
33,0.000914,0.00218,0.00214,0.00209,0.00210,0.00218,0.00210,0.00204,0.00223,0.00218,0.00213,0.00213,0.00210,0.00214,0.00211,0.00213,0.00217
38,0.00180,0.00237,0.00261,0.00225,0.00239,0.00229,0.00219,0.00267,0.00264,0.00262,0.00276,0.00273,0.00239,0.00260,0.00262,0.00270,0.00214
43,0.00178,0.00282,0.00276,0.00277,0.00264,0.00278,0.00269,0.00276,0.00265,0.00272,0.00282,0.00279,0.00273,0.00281,0.00268,0.00270,0.00268
48,0.00151,0.00286,0.00277,0.00277,0.00263,0.00278,0.00273,0.00283,0.00266,0.00283,0.00277,0.00283,0.00275,0.00286,0.00266,0.00276,0.00271
53,0.000805,0.00263,0.00233,0.00264,0.00244,0.00268,0.00264,0.00234,0.00234,0.00246,0.00227,0.00229,0.00250,0.00244,0.00228,0.00233,0.00268
58,0.000813,0.00229,0.00227,0.00227,0.00224,0.00228,0.00230,0.00232,0.00237,0.00240,0.00227,0.00229,0.00227,0.00231,0.00229,0.00236,0.00231
63,0.000805,0.00230,0.00230,0.00232,0.00237,0.00237,0.00237,0.00230,0.00232,0.00237,0.00228,0.00222,0.00227,0.00231,0.00226,0.00232,0.00231
68,0.000899,0.00224,0.00228,0.00226,0.00226,0.00232,0.00234,0.00235,0.00235,0.00240,0.00229,0.00232,0.00225,0.00234,0.00225,0.00225,0.00228
73,0.00175,0.00258,0.00256,0.00250,0.00256,0.00266,0.00258,0.00267,0.00264,0.00268,0.00260,0.00263,0.00258,0.00262,0.00254,0.00254,0.00254
78,0.00243,0.00273,0.00267,0.00260,0.00258,0.00273,0.00260,0.00285,0.00289,0.00283,0.00280,0.00288,0.00268,0.00269,0.00275,0.00267,0.00265
83,0.00476,0.00329,0.00327,0.00290,0.00302,0.00305,0.00287,0.00352,0.00373,0.00331,0.00364,0.00365,0.00300,0.00315,0.00352,0.00351,0.00295
88,0.000953,0.00274,0.00247,0.00232,0.00245,0.00226,0.00222,0.00245,0.00226,0.00274,0.00138,0.00194,0.00221,0.00208,0.00238,0.00245,0.00250
93,NaN,NaN,NaN,0.00170,NaN,NaN,0.00146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00175
98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
