Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
3,0,0,2.67
8,17.9,17.9,21.3
13,38.7,38.7,42.1
18,59.5,59.5,63.3
23,80.4,80.4,84.2
28,101,101,105
33,122,122,120
38,107,107,104
43,100,100,99.9
48,109,109,113
53,130,130,133
58,138,137,137
63,128,128,127
68,125,125,124
73,111,111,108
78,81.2,81.3,74.0
83,39.5,39.6,33.3
88,11.4,11.5,8.06
93,0,0,0.0500
98,0,0,0
103,0,0,0
108,0,0,0
113,0,0,0
118,0,0,0
