Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
1,0,0,0
6,0,0,10.8
11,67.3,67.3,81.3
16,146,146,161
21,226,226,229
26,238,238,238
31,240,240,247
36,270,270,276
41,300,300,307
46,347,347,351
51,378,378,384
56,410,410,414
61,425,425,425
66,427,427,427
71,429,429,429
76,430,430,431
81,433,434,433
86,436,436,436
91,436,436,437
96,442,441,443
101,446,446,447
106,451,451,450
111,448,449,448
116,450,450,450
121,450,450,450
126,451,451,452
131,453,453,453
136,482,482,457
141,506,503,451
146,501,498,445
151,462,462,442
156,406,408,435
161,438,432,431
166,444,444,433
171,402,403,409
176,422,429,394
181,471,441,385
186,528,527,418
191,477,479,434
196,409,440,431
201,427,425,433
206,293,293,375
211,240,231,339
216,307,307,322
221,525,525,380
226,604,614,426
231,524,528,440
236,442,438,439
241,369,369,441
246,410,410,443
251,264,267,405
256,253,228,349
261,307,287,339
266,513,493,378
271,617,612,425
276,514,533,429
281,418,438,426
286,359,389,427
291,316,317,426
296,211,211,377
301,300,266,365
306,425,417,363
311,507,507,427
316,344,379,434
321,276,285,439
326,331,331,425
331,425,425,418
336,386,386,378
341,344,344,334
346,241,241,225
351,138,138,120
356,34.6,34.8,21.3
361,0,0,0.0208
366,0,0,0
