Time,nvme0n1 - Successfully read bytes,nvme0n1 - Successfully written bytes
0,57.3 kB/s,3.12 MB/s
15,0 B/s,404 kB/s
30,0 B/s,128 kB/s
45,0 B/s,22.9 kB/s
60,0 B/s,13.1 kB/s
75,0 B/s,416 kB/s
90,0 B/s,2.69 MB/s
105,0 B/s,7.20 MB/s
120,0 B/s,8.26 MB/s
135,0 B/s,3.04 MB/s
150,0 B/s,384 kB/s
165,0 B/s,67.2 kB/s
180,0 B/s,225 kB/s
195,0 B/s,109 kB/s
210,0 B/s,113 kB/s
225,0 B/s,10.7 MB/s
240,0 B/s,24.4 MB/s
255,0 B/s,38.6 MB/s
270,0 B/s,42.5 MB/s
285,0 B/s,40.8 MB/s
300,0 B/s,56.1 MB/s
315,0 B/s,89.4 MB/s
330,0 B/s,128 MB/s
345,0 B/s,98.3 MB/s
360,0 B/s,55.7 kB/s
375,41.0 kB/s,27.0 kB/s
390,0 B/s,11.5 kB/s
405,0 B/s,49.0 MB/s
420,0 B/s,31.6 MB/s
435,0 B/s,49.2 kB/s
450,0 B/s,85.1 MB/s
465,0 B/s,11.5 kB/s
480,0 B/s,6.55 kB/s
495,0 B/s,216 kB/s
510,0 B/s,15.6 kB/s
525,74.5 kB/s,11.1 MB/s
540,357 kB/s,17.2 kB/s
555,516 kB/s,9.83 kB/s
570,74.5 kB/s,17.2 kB/s
585,0 B/s,13.9 kB/s
600,0 B/s,22.9 kB/s
615,92.6 kB/s,91.8 kB/s
630,0 B/s,13.1 kB/s
645,0 B/s,80.3 kB/s
