Time,nvme0n1 - Successfully read bytes,nvme0n1 - Successfully written bytes
0,9.83 kB/s,95.8 kB/s
15,90.1 kB/s,36.9 kB/s
30,343 kB/s,1.65 MB/s
45,45.1 kB/s,2.42 MB/s
60,0 B/s,22.1 kB/s
75,1.64 kB/s,1.87 MB/s
90,0 B/s,5.29 MB/s
105,0 B/s,4.65 MB/s
120,0 B/s,963 kB/s
135,0 B/s,17.2 kB/s
150,0 B/s,30.3 kB/s
165,0 B/s,4.18 MB/s
180,0 B/s,13.0 MB/s
195,0 B/s,15.0 MB/s
210,26.2 kB/s,17.6 MB/s
225,0 B/s,21.7 MB/s
240,0 B/s,36.1 MB/s
255,15.6 kB/s,52.8 MB/s
270,0 B/s,80.4 MB/s
285,22.1 kB/s,84.4 MB/s
300,0 B/s,194 kB/s
315,0 B/s,82.7 kB/s
330,0 B/s,70.6 MB/s
345,0 B/s,38.9 MB/s
360,0 B/s,129 kB/s
375,0 B/s,5.90 MB/s
390,0 B/s,12.2 MB/s
405,39.3 kB/s,21.8 MB/s
420,0 B/s,9.64 MB/s
435,0 B/s,10.2 MB/s
450,819 B/s,10.3 MB/s
465,0 B/s,6.16 MB/s
480,0 B/s,84.4 kB/s
495,369 kB/s,12.9 MB/s
