"Time","nvme0n1 - Successfully read bytes","nvme0n1 - Successfully written bytes"
2026-04-14 21:17:00,0 B/s,49.0 MB/s
2026-04-14 21:17:15,0 B/s,31.6 MB/s
2026-04-14 21:17:30,0 B/s,49.2 kB/s
2026-04-14 21:17:45,0 B/s,85.1 MB/s
2026-04-14 21:18:00,0 B/s,11.5 kB/s
2026-04-14 21:18:15,0 B/s,6.55 kB/s
2026-04-14 21:18:30,0 B/s,216 kB/s
2026-04-14 21:18:45,0 B/s,15.6 kB/s
2026-04-14 21:19:00,74.5 kB/s,11.1 MB/s
2026-04-14 21:19:15,357 kB/s,17.2 kB/s
2026-04-14 21:19:30,516 kB/s,9.83 kB/s
2026-04-14 21:19:45,74.5 kB/s,17.2 kB/s
2026-04-14 21:20:00,0 B/s,13.9 kB/s
2026-04-14 21:20:15,0 B/s,22.9 kB/s
2026-04-14 21:20:30,92.6 kB/s,91.8 kB/s
2026-04-14 21:20:45,0 B/s,13.1 kB/s
2026-04-14 21:21:00,0 B/s,80.3 kB/s
