Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,905,905,905,,,,,,,905,905,,,,,,
5,905,905,905,,,,,,,905,905,,,,,,
10,946,906,922,,,,,,,918,941,,,,,,
15,1071,995,1027,,,,,,,1018,1066,,,,,,
20,1300,1149,1212,,,,,,,1194,1290,,,,,,
25,1550,1398,1462,,,,,,,1444,1540,,,,,,
30,1800,1648,1712,,,,,,,1694,1790,,,,,,
35,2050,1899,1962,,,,,,,1944,2040,,,,,,
40,2259,2147,2195,,,,,,,2181,2253,,,,,,
45,2384,2308,2340,,,,,,,2331,2378,,,,,,
50,2406,2405,2406,,,,,,,2406,2406,,,,,,
55,2406,2406,2406,,,,,,,2406,2406,,,,,,
60,2406,2406,2406,,,,,,,2406,2406,,,,,,
65,2406,2406,2406,,,,,,,2406,2406,,,,,,
