Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
339,,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
344,,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
349,,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
354,,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
369,,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,
374,NaN,0.000627,NaN,NaN,NaN,NaN,0.000857,0.000845,0.000541,0.00107,0.000627,NaN,0.000718,0.000721,0.000630,NaN
379,0.000861,0.00128,0.000594,0.00113,0.00101,0.000860,0.000890,0.000862,0.000756,0.000981,0.00102,0.000731,0.000788,0.000816,0.000767,0.000980
384,0.000864,0.00128,0.000594,0.00121,0.00105,0.000868,0.000890,0.000862,0.000756,0.000981,0.00102,0.000731,0.000788,0.000816,0.000767,0.00117
389,0.000864,0.00208,0.000594,0.00121,0.00105,0.000868,0.000980,0.000896,0.000970,0.00106,0.00160,0.000731,0.000858,0.000941,0.000903,0.00117
394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
