Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
3,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
8,0.000698,0.000663,,,,,,,0.000627,0.000677,0.000676,0.000640,0.000665,0.000678,,
13,0.000696,0.000680,,,,,,,0.000640,0.000668,0.000664,0.000677,0.000655,0.000690,,
18,0.000706,0.000718,,,,,,,0.000690,0.000723,0.000718,0.000724,0.000700,0.000727,,
23,0.000728,0.000751,,,,,,,0.000727,0.000751,0.000758,0.000746,0.000737,0.000757,,
28,0.000756,0.000772,,,,,,,0.000756,0.000764,0.000779,0.000786,0.000757,0.000770,,
33,0.000760,0.000790,,,,,,,0.000783,0.000776,0.000783,0.000781,0.000766,0.000781,,
38,0.000764,0.000780,,,,,,,0.000772,0.000757,0.000766,0.000782,0.000758,0.000762,,
43,0.000738,0.000761,,,,,,,0.000752,0.000737,0.000745,0.000742,0.000747,0.000743,,
48,0.000723,0.000723,,,,,,,0.000701,0.000678,0.000721,0.000726,0.000726,0.000703,,
53,0.000674,0.000678,,,,,,,0.000666,0.000628,0.000677,0.000678,0.000679,0.000670,,
58,0.000624,0.000634,,,,,,,0.000623,0.000503,0.000496,0.000646,0.000626,0.000578,,
63,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
68,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
