Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
2,0.000769,0.00100,,,,,,,0.000673,0.000671,0.000915,0.000654,0.000829,0.000789,,
7,0.000659,NaN,,,,,,,NaN,NaN,NaN,0.000661,NaN,NaN,,
12,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
17,NaN,NaN,,,,,,,NaN,0.000740,0.000670,NaN,NaN,NaN,,
22,0.000695,0.000680,,,,,,,0.000722,0.000669,0.000676,0.000695,0.000675,0.000689,,
27,0.000695,0.000688,,,,,,,0.000718,0.000719,0.000708,0.000707,0.000684,0.000697,,
32,0.000723,0.000702,,,,,,,0.000706,0.000698,0.000698,0.000707,0.000697,0.000693,,
37,0.000724,0.000708,,,,,,,0.000695,0.000710,0.000696,0.000704,0.000693,0.000693,,
42,0.000730,0.000719,,,,,,,0.000692,0.000692,0.000691,0.000713,0.000710,0.000696,,
47,0.000704,0.000721,,,,,,,0.000694,0.000701,0.000705,0.000724,0.000717,0.000706,,
52,0.000702,0.000710,,,,,,,0.000689,0.000692,0.000704,0.000723,0.000732,0.000706,,
57,0.000691,0.000698,,,,,,,0.000676,0.000684,0.000697,0.000703,0.000718,0.000696,,
62,0.000710,0.000670,,,,,,,0.000650,0.000666,0.000661,0.000668,0.000702,0.000668,,
67,0.000697,0.000698,,,,,,,0.000644,0.000629,0.000661,0.000653,0.000682,0.000658,,
72,0.000705,0.000676,,,,,,,0.000566,0.000655,0.000648,0.000626,0.000677,0.000652,,
77,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
82,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
87,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
