Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
490,0.333,32.7,57.1,15.8,,,,,,,,,,,,,,
495,0.400,48.9,127,43.6,,,,,,,,,,,,,,
500,0.400,42.0,130,51.1,,,,,,,,,,,,,,
505,0.400,16.4,73.9,36.0,,,,,,,,,,,,,,
510,0.333,0.200,4.60,8.20,,,,,,,,,,,,,,
515,0.333,0.0667,137,0.733,,,,,,,,,,,,,,
520,0.333,0.133,392,0.600,,,,,,,,,,,,,,
525,0.333,0.0667,685,0.667,,,,,,,,,,,,,,
530,0.400,0.0667,863,0.667,,,,,,,,,,,,,,
535,0.400,0.0667,933,0.733,,,,,,,,,,,,,,
540,0.467,0.0667,967,0.733,,,,,,,,,,,,,,
545,0.400,0.0667,977,0.733,,,,,,,,,,,,,,
550,0.467,0.133,978,0.733,,,,,,,,,,,,,,
555,0.533,0.133,973,0.733,,,,,,,,,,,,,,
560,0.533,0.133,971,0.667,,,,,,,,,,,,,,
565,0.467,0.0667,955,0.800,,,,,,,,,,,,,,
570,0.400,0.0667,948,0.733,,,,,,,,,,,,,,
575,0.467,0.0667,934,0.800,,,,,,,,,,,,,,
580,0.467,0.0667,939,0.667,,,,,,,,,,,,,,
585,0.533,0.0667,934,0.733,,,,,,,,,,,,,,
590,0.467,0.0667,938,0.733,,,,,,,,,,,,,,
595,0.533,0.0667,939,0.733,,,,,,,,,,,,,,
600,0.467,0.0667,942,0.800,,,,,,,,,,,,,,
605,0.467,0.0667,945,0.733,,,,,,,,,,,,,,
610,0.400,0.0667,936,0.867,,,,,,,,,,,,,,
615,0.467,0.133,935,0.733,,,,,,,,,,,,,,
620,0.467,0.200,939,0.867,,,,,,,,,,,,,,
625,0.533,0.133,938,0.867,,,,,,,,,,,,,,
630,0.467,0.0667,941,0.867,,,,,,,,,,,,,,
635,0.533,0.0667,937,0.800,,,,,,,,,,,,,,
640,0.533,0.133,944,0.733,,,,,,,,,,,,,,
645,0.533,0.133,937,0.800,,,,,,,,,,,,,,
650,0.467,0.0667,935,0.733,,,,,,,,,,,,,,
