Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
410,0.533,77.7,206,86.8,,,,,,,86.2,86.7,,,,,,
415,0.533,77.6,207,87.2,,,,,,,87.4,87.3,,,,,,
420,0.533,77.4,208,86.7,,,,,,,88.1,87.9,,,,,,
425,0.400,77.3,209,88.2,,,,,,,87.7,88.2,,,,,,
430,0.400,77.2,209,88.4,,,,,,,88.5,88.5,,,,,,
435,0.467,77.1,209,88.3,,,,,,,88.7,87.1,,,,,,
440,0.467,77.6,209,88.5,,,,,,,89.0,88.8,,,,,,
445,0.533,77.4,210,88.7,,,,,,,89.2,88.9,,,,,,
450,0.467,77.5,209,89.1,,,,,,,89.5,89.3,,,,,,
455,0.533,77.3,212,89.5,,,,,,,91.1,89.5,,,,,,
460,0.467,76.9,212,91.5,,,,,,,92.1,91.2,,,,,,
465,0.533,76.9,211,92.3,,,,,,,89.8,91.9,,,,,,
470,0.533,77.1,208,91.3,,,,,,,89.1,90.5,,,,,,
475,0.533,77.5,207,87.2,,,,,,,87.8,88.5,,,,,,
480,0.533,77.6,207,87.5,,,,,,,87.8,87.4,,,,,,
485,0.467,77.4,207,87.7,,,,,,,88.1,87.9,,,,,,
490,0.533,77.3,206,87.6,,,,,,,88.1,86.1,,,,,,
495,0.467,77.5,207,87.6,,,,,,,88.1,87.6,,,,,,
500,0.467,77.3,207,87.9,,,,,,,88.0,87.8,,,,,,
505,0.400,77.3,207,88.5,,,,,,,88.2,88.1,,,,,,
510,0.467,76.6,208,88.9,,,,,,,88.7,88.6,,,,,,
515,0.533,68.9,198,84.8,,,,,,,82.2,85.4,,,,,,
520,0.533,50.3,164,75,,,,,,,64.0,72.3,,,,,,
525,0.400,25.1,98.3,48.9,,,,,,,35.7,44.7,,,,,,
530,0.400,7.13,38.7,23.4,,,,,,,12.7,18.3,,,,,,
535,0.267,0.267,4.40,4.93,,,,,,,0.933,3.53,,,,,,
540,0.333,21.4,33.1,9.20,,,,,,,19.5,12.2,,,,,,
545,0.333,45.9,99.5,36.0,,,,,,,51.1,40,,,,,,
550,0.467,50.6,140,59.7,,,,,,,61.7,61.3,,,,,,
555,0.467,29.3,108,53.5,,,,,,,43.1,50.4,,,,,,
560,0.400,4.87,41.9,26.6,,,,,,,11.5,22.6,,,,,,
565,0.333,0.0667,1.000,2.93,,,,,,,1.000,1.13,,,,,,
570,0.333,0.133,99.3,0.867,,,,,,,0.867,0.933,,,,,,
575,0.333,0.133,337,0.867,,,,,,,0.800,0.800,,,,,,
580,0.400,0.133,624,0.867,,,,,,,0.733,0.867,,,,,,
585,0.400,0.0667,831,0.867,,,,,,,0.867,0.800,,,,,,
590,0.467,0.133,917,1.00,,,,,,,1.00,1.000,,,,,,
595,0.533,0.133,963,1.07,,,,,,,1.00,1.00,,,,,,
600,0.533,0.133,981,1.07,,,,,,,1.00,1.07,,,,,,
605,0.467,0.0667,980,1.00,,,,,,,1.00,0.933,,,,,,
610,0.400,0.0667,970,1.000,,,,,,,1.000,0.933,,,,,,
615,0.400,0.0667,960,1.00,,,,,,,1.00,0.933,,,,,,
620,0.467,0.0667,955,0.933,,,,,,,1.00,1.00,,,,,,
625,0.400,0.0667,948,0.933,,,,,,,0.933,0.933,,,,,,
630,0.467,0.0667,943,0.933,,,,,,,0.933,0.933,,,,,,
635,0.400,0.0667,943,0.933,,,,,,,0.933,1.000,,,,,,
640,0.533,0.0667,940,1.00,,,,,,,1.00,1.07,,,,,,
645,0.533,0.0667,941,0.933,,,,,,,1.000,1.000,,,,,,
650,0.467,0.0667,933,1.000,,,,,,,0.933,0.933,,,,,,
655,0.400,0.133,928,0.867,,,,,,,0.933,0.933,,,,,,
660,0.400,0.133,931,1.00,,,,,,,1.00,1.00,,,,,,
665,0.533,0.133,931,0.933,,,,,,,1.07,0.933,,,,,,
670,0.467,0,935,1.00,,,,,,,1.07,1.07,,,,,,
675,0.533,0.0667,936,0.933,,,,,,,1.00,1.07,,,,,,
680,0.467,0.0667,934,1.00,,,,,,,1.00,1.13,,,,,,
685,0.600,0.0667,935,1.000,,,,,,,1.00,1.000,,,,,,
690,0.467,0.0667,936,0.933,,,,,,,1.07,1.00,,,,,,
695,0.533,0.0667,939,0.933,,,,,,,1.000,1.00,,,,,,
700,0.400,0.200,934,0.933,,,,,,,1.07,0.933,,,,,,
705,0.467,0.200,930,0.933,,,,,,,0.933,0.933,,,,,,
710,0.467,0.200,932,1.13,,,,,,,1.00,0.933,,,,,,
715,0.533,0.0667,928,1.13,,,,,,,0.933,1.07,,,,,,
720,0.467,0.0667,930,1.20,,,,,,,0.933,1.07,,,,,,
725,0.400,0.0667,925,1.000,,,,,,,1.00,1.00,,,,,,
730,0.467,0.0667,925,1.00,,,,,,,0.933,0.933,,,,,,
735,0.533,0.0667,924,0.933,,,,,,,1.00,0.933,,,,,,
740,0.533,0.0667,917,0.933,,,,,,,1.00,0.933,,,,,,
745,0.533,0.133,919,0.933,,,,,,,1.00,1.000,,,,,,
750,0.467,0.133,906,1.00,,,,,,,1.07,0.933,,,,,,
755,0.467,0.133,910,1.00,,,,,,,0.933,1.00,,,,,,
760,0.467,0.0667,899,1.000,,,,,,,1.07,0.933,,,,,,
765,0.533,0.0667,900,1.00,,,,,,,1.00,1.000,,,,,,
770,0.533,0.0667,894,0.933,,,,,,,1.00,0.933,,,,,,
775,0.600,0.0667,894,0.867,,,,,,,0.933,1.000,,,,,,
780,0.533,0.0667,892,0.933,,,,,,,0.867,0.933,,,,,,
785,0.533,0.0667,889,1.00,,,,,,,1.00,1.00,,,,,,
790,0.400,0.0667,887,1.07,,,,,,,1.13,1.07,,,,,,
795,0.467,0,888,0.933,,,,,,,1.13,1.13,,,,,,
800,0.467,0.0667,887,1.00,,,,,,,1.13,1.13,,,,,,
805,0.533,0.0667,882,0.867,,,,,,,0.933,1.00,,,,,,
810,0.467,0.133,877,1.00,,,,,,,1.00,1.00,,,,,,
815,0.467,0.0667,874,0.867,,,,,,,0.933,1.00,,,,,,
820,0.467,0.133,874,1.07,,,,,,,1.000,1.000,,,,,,
825,0.533,0.0667,867,0.933,,,,,,,1.00,1.00,,,,,,
830,0.533,0.133,865,1.13,,,,,,,1.00,1.00,,,,,,
835,0.467,0.133,862,1.07,,,,,,,1.00,1.07,,,,,,
840,0.467,0.133,866,1.07,,,,,,,1.07,1.00,,,,,,
845,0.400,0.0667,857,0.933,,,,,,,1.07,1.000,,,,,,
850,0.467,0.0667,857,0.933,,,,,,,1.000,0.933,,,,,,
855,0.400,0.0667,840,1.00,,,,,,,0.933,1.00,,,,,,
860,0.533,0.0667,830,1.00,,,,,,,1.000,1.00,,,,,,
865,0.467,0.0667,808,1.000,,,,,,,1.07,1.00,,,,,,
870,0.533,0.0667,798,1.07,,,,,,,1.07,1.07,,,,,,
875,0.467,0.0667,799,1.00,,,,,,,1.00,1.07,,,,,,
880,0.467,0.0667,813,1.00,,,,,,,1.00,1.07,,,,,,
885,0.467,0.133,825,1.00,,,,,,,1.000,0.933,,,,,,
890,0.400,0.133,834,1.000,,,,,,,1.00,1.00,,,,,,
895,0.467,0.133,832,1.00,,,,,,,1.00,1.00,,,,,,
900,0.467,0.0667,832,0.933,,,,,,,1.00,1.00,,,,,,
905,0.467,0.0667,646,0.933,,,,,,,0.933,0.867,,,,,,
910,0.400,0.0667,371,0.933,,,,,,,1.000,0.933,,,,,,
915,0.267,0.0667,96.0,0.800,,,,,,,0.933,1.00,,,,,,
920,0.333,0.1000,1.47,0.867,,,,,,,0.933,1.00,,,,,,
925,0.333,0,1.27,0.551,,,,,,,0.645,0.652,,,,,,
930,0.333,0.200,1.30,0.439,,,,,,,0.445,0.380,,,,,,
935,0.267,0.0785,0.667,0.467,,,,,,,0.533,0.400,,,,,,
