Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
0,0.267,0.450,0.702,0.898,,,,,,,0.710,0.945,0.924,0.702,0.763,0.476,,
5,0.267,0.600,0.902,1.05,,,,,,,0.901,1.16,1.08,0.964,1.02,0.840,,
10,0.333,0.600,1.40,1.33,,,,,,,1.33,1.47,1.33,1.40,1.40,1.33,,
15,0.333,0.200,1.13,1.13,,,,,,,1.13,1.13,1.20,1.13,1.13,1.20,,
20,0.333,0.0667,1.07,1.13,,,,,,,1,1,1.13,1,1.13,1.000,,
25,0.333,0.0667,0.867,0.867,,,,,,,0.867,0.867,0.933,0.867,0.933,0.867,,
30,0.267,0.0667,1.07,0.867,,,,,,,0.800,0.867,0.800,0.867,1.000,0.867,,
35,0.333,0.0667,1.27,0.800,,,,,,,0.867,0.933,0.867,0.867,0.800,1.000,,
40,0.267,0.0667,1.27,0.867,,,,,,,0.867,0.867,0.933,0.867,0.867,0.933,,
45,0.333,0.133,1.20,0.800,,,,,,,0.867,0.867,0.933,0.933,0.800,0.933,,
50,0.333,0.467,1.33,0.867,,,,,,,1.07,0.800,0.867,1.07,1.00,1.000,,
55,0.333,1.47,3.13,1.33,,,,,,,1.67,1.40,1.20,1.67,1.60,1.80,,
60,0.333,2.60,5.33,2.07,,,,,,,2.47,2.13,2.00,2.20,2.20,2.67,,
65,0.200,4.33,8.67,2.93,,,,,,,3.67,3.33,3.00,3.60,3.47,3.87,,
70,0.267,5.27,10.9,3.87,,,,,,,4.40,4.07,4.07,4.27,4.13,4.47,,
75,0.267,5.93,12.8,4.53,,,,,,,4.93,4.73,4.60,5.07,5.07,5.00,,
80,0.333,5.67,13.1,4.93,,,,,,,4.80,4.87,5.07,4.80,4.93,4.73,,
85,0.333,4.60,11.3,4.47,,,,,,,4.20,4.40,4.67,4.33,4.40,4.13,,
90,0.333,3.53,9.20,3.87,,,,,,,3.67,3.73,4.00,3.73,3.67,3.40,,
95,0.333,1.80,5.93,2.93,,,,,,,2.60,2.87,3.00,2.53,2.60,2.40,,
100,0.333,0.867,3.53,2.00,,,,,,,1.73,2.00,2.07,1.67,1.80,1.60,,
105,0.267,0.133,1.60,1.27,,,,,,,1.000,1.27,1.40,0.867,1.000,0.933,,
