Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
0,0.333,0.1000,0.674,0.867,,,,,,,0.807,0.652,0.933,0.811,0.618,0.900,,
5,0.333,0.122,0.499,0.551,,,,,,,0.557,0.475,0.538,0.561,0.418,0.604,,
10,0.333,0.267,0.467,0.351,,,,,,,0.467,,0.338,0.400,0.467,0.467,,
15,0.333,0.314,0.802,0.467,,0.711,,,0.647,,0.710,,0.467,0.702,0.668,0.793,,0.661
20,0.267,0.514,1.20,1.35,1.29,1.10,1.19,0.677,1.05,1.26,1.11,0.945,1.50,1.10,1.02,1.03,0.818,0.939
25,0.333,0.600,1.47,1.38,1.50,1.53,1.35,0.954,1.53,1.39,1.40,1.16,1.57,1.47,1.40,1.58,1.07,1.33
30,0.333,0.400,1.80,1.80,1.60,1.67,1.80,1.67,1.67,1.93,1.60,1.80,1.67,1.73,1.73,1.60,1.67,1.60
35,0.467,0.200,1.47,1.47,1.60,1.47,1.53,1.67,1.40,1.53,1.47,1.53,1.53,1.53,1.53,1.53,1.53,1.60
40,0.400,0.133,1.33,1.47,1.40,1.27,1.40,1.53,1.27,1.40,1.33,1.40,1.47,1.47,1.40,1.27,1.40,1.40
45,0.333,0.133,0.800,1.07,1.33,1.00,1.07,1.07,0.867,1.00,0.933,0.933,1.33,1.00,0.867,0.933,1.00,1.00
50,0.267,0.133,1.000,0.933,0.933,0.867,0.933,0.867,0.933,0.867,0.867,0.933,0.867,1.000,0.867,0.867,0.867,0.933
55,0.267,0.133,1.13,0.867,1.000,0.933,0.933,1.00,1.00,1.000,1.00,1.00,0.933,0.933,0.867,1.000,1.000,1.00
60,0.267,0.0667,1.13,0.933,0.933,0.867,1.00,1.00,1.07,1.00,0.933,0.933,1.00,1.000,0.933,0.933,0.933,0.933
65,0.267,0.0667,1.20,0.933,0.933,0.933,0.933,1.000,1.00,1.20,0.933,0.933,1.000,0.933,1.00,1.000,1.000,0.867
70,0.267,1.27,1.93,1.00,0.867,1.60,1.00,1.33,1.53,1.27,1.47,1.13,0.867,1.40,1.47,1.53,1.27,1.27
75,0.267,2.67,4.13,1.87,1.80,2.47,1.93,2.27,2.47,2.20,2.33,2.13,1.87,2.27,2.27,2.47,2.27,2.27
80,0.267,4.07,5.93,2.67,2.73,3.53,2.87,3.00,3.60,2.93,3.13,2.93,2.80,3.20,3.00,3.47,3.00,3.07
85,0.267,4.87,7.67,3.60,3.67,4,3.80,3.73,4.07,3.73,3.80,3.53,3.67,3.93,3.67,3.80,3.53,3.73
90,0.333,5.53,8.67,3.87,4,4.33,4.00,4.07,4.33,4.13,4.13,4.00,3.87,4.20,4.13,4.13,3.93,4.07
95,0.267,6.07,9.80,4.47,4.27,4.60,4.47,4.60,4.53,4.53,4.53,4.40,4.20,4.47,4.60,4.53,4.27,4.47
100,0.333,5.27,9.67,4.73,4.53,4.27,4.73,4.40,4.27,4.67,4.27,4.73,4.67,4.13,4.33,4.27,4.53,4.33
105,0.267,3.93,7.73,4.07,3.87,3.40,4.00,3.67,3.47,3.87,3.60,3.67,4.00,3.47,3.53,3.53,3.67,3.60
