Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
2,1529,1529,1504
7,1529,1529,1504
12,1529,1529,1504
17,1529,1529,1604
22,1908,1908,2234
27,2660,2660,3274
32,3849,3849,4524
37,5099,5099,5774
42,6349,6349,7024
47,7599,7599,8164
52,8472,8472,8794
57,8971,8971,9004
62,9033,9033,9008
67,9033,9033,9008
72,9033,9033,9008
77,9033,9033,9008
82,9033,9033,9008
87,9033,9033,9008
