Time,Avg Endorsement Latency
3,NaN
8,0.0013724501529850668
13,0.0013427286034482745
18,0.001340277269876814
23,0.0012546511799336642
28,0.0011929275039525666
33,0.0011332599754232684
38,0.0011970595917859374
43,0.001388808414000009
48,0.0015710398336380308
53,0.0015398824923234479
58,0.0014347649214355006
63,0.0013865480937499943
68,0.0013781482186666673
73,0.001488341306220094
78,0.0015323074626743306
83,0.001653937867003349
88,0.0015124827151162606
93,NaN
98,NaN
103,NaN
108,NaN
113,NaN
118,NaN
