Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
2,0.333,0.533,0.733,0.667,,,,,,,,,,,,,,
7,0.400,1.92,3.27,1.73,,,,,,,,,,,,,,
12,0.333,3.03,7.20,2.73,,,,,,,,,,,,,,
17,0.333,4.14,11.3,3.73,,,,,,,,,,,,,,
22,0.267,4.40,12.4,3.73,,,,,,,,,,,,,,
27,0.333,4.33,12.4,3.80,,,,,,,,,,,,,,
32,0.333,3.87,12.3,3.73,,,,,,,,,,,,,,
37,0.400,2.47,9.93,2.80,,,,,,,,,,,,,,
42,0.333,1.13,6.00,1.80,,,,,,,,,,,,,,
