Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
4,23.1,89.4,207,195,,,,,,,,,,,,,,
9,23.0,71.1,200,194,,,,,,,,,,,,,,
14,23.2,92.1,200,195,,,,,,,,,,,,,,
19,23.3,76.4,211,194,,,,,,,,,,,,,,
24,23.2,94.6,206,194,,,,,,,,,,,,,,
29,23.2,77.8,211,202,,,,,,,,,,,,,,
34,23.2,96.8,212,207,,,,,,,,,,,,,,
39,23.4,79.6,228,216,,,,,,,,,,,,,,
44,23.1,99.8,227,217,,,,,,,,,,,,,,
49,23.2,87.0,233,221,,,,,,,,,,,,,,
54,23.2,72.8,217,199,,,,,,,,,,,,,,
59,23.7,101,216,208,,,,,,,,,,,,,,
64,23.0,82.5,233,229,,,,,,,,,,,,,,
69,23.2,106,239,238,,,,,,,,,,,,,,
74,23.2,89.1,248,240,,,,,,,,,,,,,,
79,23.2,77.3,248,240,,,,,,,,,,,,,,
84,22.8,95.8,213,208,,,,,,,,,,,,,,
89,22.9,88.6,219,215,,,,,,,,,,,,,,
94,22.8,77.7,235,226,,,,,,,,,,,,,,
99,23.0,105,240,230,,,,,,,,,,,,,,
104,23,94.3,242,235,,,,,,,,,,,,,,
109,23.7,82.7,251,242,,,,,,,,,,,,,,
114,23.9,96.4,220,226,,,,,,,,,,,,,,
119,23.3,101,240,236,,,,,,,,,,,,,,
124,23.4,91.2,240,235,,,,,,,,,,,,,,
129,23.4,91.5,242,238,,,,,,,,,,,,,,
134,24.1,97.8,248,238,,,,,,,,,,,,,,
139,24.4,104,253,246,,,,,,,,,,,,,,
144,24.4,72.2,228,219,,,,,,,,,,,,,,
149,23.5,78.4,232,222,,,,,,,,,,,,,,
154,23.5,85.9,246,236,,,,,,,,,,,,,,
159,23.0,93.1,250,241,,,,,,,,,,,,,,
164,23.2,103,259,245,,,,,,,,,,,,,,
169,22.9,110,262,249,,,,,,,,,,,,,,
174,22.8,84.3,231,218,,,,,,,,,,,,,,
179,23.4,91.8,237,229,,,,,,,,,,,,,,
184,23.6,97.5,250,239,,,,,,,,,,,,,,
189,23.4,107,257,244,,,,,,,,,,,,,,
194,23.0,109,261,250,,,,,,,,,,,,,,
199,23.7,85.1,262,255,,,,,,,,,,,,,,
204,23.4,92.1,229,220,,,,,,,,,,,,,,
209,23.5,99.8,240,230,,,,,,,,,,,,,,
214,23.3,106,257,244,,,,,,,,,,,,,,
219,23.5,109,261,249,,,,,,,,,,,,,,
224,22.8,81.4,264,253,,,,,,,,,,,,,,
229,23.6,91.2,266,256,,,,,,,,,,,,,,
234,22.9,98.0,242,232,,,,,,,,,,,,,,
239,23.7,105,251,241,,,,,,,,,,,,,,
244,23.6,110,254,244,,,,,,,,,,,,,,
249,23.2,86.1,260,249,,,,,,,,,,,,,,
254,23.5,93.9,265,254,,,,,,,,,,,,,,
259,23.2,98.6,268,254,,,,,,,,,,,,,,
264,23.5,106,236,221,,,,,,,,,,,,,,
269,23.3,111,240,227,,,,,,,,,,,,,,
274,23.2,81.7,241,229,,,,,,,,,,,,,,
279,23.4,89.6,251,237,,,,,,,,,,,,,,
284,23.6,94.4,251,247,,,,,,,,,,,,,,
289,23.3,106,262,254,,,,,,,,,,,,,,
294,23.0,112,231,218,,,,,,,,,,,,,,
299,23.5,82.8,239,228,,,,,,,,,,,,,,
304,23.3,105,242,233,,,,,,,,,,,,,,
309,24.0,105,243,233,,,,,,,,,,,,,,
314,24.1,105,243,233,,,,,,,,,,,,,,
