Time,OrdererCPU,PeersCPU,HostCPU
0,0.0120,0.0460,0.00200
15,0.00200,0.0280,0.00200
30,0.0500,0.262,0.00400
45,0.0480,0.266,0.00400
60,0.00200,0.0360,0.00400
75,0.0240,0.152,0.00400
90,0.0900,0.508,0.00400
105,0.102,0.554,0.00400
120,0.118,0.652,0.00400
135,0.154,0.824,0.00400
150,0.190,1.05,0.00400
165,0.240,1.36,0.00400
180,0.504,2.91,0.00400
195,0.664,3.41,0.00400
210,0.00200,0.0320,0.00200
225,0.0660,1.28,0.00400
240,0.368,1.23,0.00400
255,0,0.0380,0.00400
270,0.00200,5.68,0.00600
285,0,6.37,0.00600
300,0,6.19,0.00600
315,0,6.59,0.00600
330,0,8.43,0.00400
345,0,9.08,0.00600
