Time,orderer.dwntp.com:8443 (K),peer0.org1.dwntp.com:9443 (K),peer1.org1.dwntp.com:9443 (K),peer10.org1.dwntp.com:9443 (K),peer11.org1.dwntp.com:9443 (K),peer12.org1.dwntp.com:9443 (K),peer13.org1.dwntp.com:9443 (K),peer14.org1.dwntp.com:9443 (K),peer15.org1.dwntp.com:9443 (K),peer2.org1.dwntp.com:9443 (K),peer3.org1.dwntp.com:9443 (K),peer4.org1.dwntp.com:9443 (K),peer5.org1.dwntp.com:9443 (K),peer6.org1.dwntp.com:9443 (K),peer7.org1.dwntp.com:9443 (K),peer8.org1.dwntp.com:9443 (K),peer9.org1.dwntp.com:9443 (K)
3,168,154,157,154,154,154,154,163,165,155,167,165,154,157,161,160,154
8,199,180,188,178,182,178,174,195,197,186,198,196,182,188,193,191,170
13,231,212,220,209,214,210,205,226,228,217,229,227,213,219,224,222,201
18,276,243,254,240,245,241,237,267,271,250,274,270,245,254,263,260,232
23,339,301,317,296,305,297,289,330,334,312,336,333,304,316,325,322,279
28,401,363,379,358,368,360,351,392,396,375,399,395,367,379,388,385,342
33,449,426,438,421,430,422,414,445,447,436,448,446,429,438,442,441,404
38,489,461,469,459,464,459,455,479,483,467,486,482,463,469,475,472,451
43,553,513,529,508,518,509,501,542,546,525,549,545,517,529,538,535,492
48,632,590,610,582,596,584,572,623,627,606,630,626,595,610,619,616,558
53,695,657,673,652,661,653,645,686,690,668,692,689,660,672,681,679,635
58,757,719,735,714,724,716,707,748,752,731,755,751,723,735,744,741,698
63,820,782,798,777,786,778,770,811,815,793,817,814,785,797,806,804,760
68,874,844,860,839,849,841,832,870,872,856,873,871,848,860,868,866,823
73,904,887,895,884,889,885,881,901,903,892,904,903,888,894,899,897,876
78,905,905,905,904,905,905,904,905,905,905,905,905,905,905,905,905,904
83,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
88,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
93,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
98,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
103,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
108,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
113,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
118,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
