Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,25.7 MiB,46.9 MiB,75.6 MiB,73.0 MiB,,,,,,,75.0 MiB,77.5 MiB,73.0 MiB,75.4 MiB,73.5 MiB,85.6 MiB,,
5,25.5 MiB,46.9 MiB,81.9 MiB,77.5 MiB,,,,,,,77.8 MiB,84.1 MiB,79.2 MiB,81.8 MiB,80.0 MiB,95.9 MiB,,
10,26.0 MiB,47.1 MiB,92.4 MiB,87.7 MiB,,,,,,,85.9 MiB,96.4 MiB,87.8 MiB,90.2 MiB,88.3 MiB,102 MiB,,
15,26.1 MiB,47.1 MiB,94.3 MiB,91.9 MiB,,,,,,,90.1 MiB,101 MiB,96.1 MiB,94.2 MiB,92.4 MiB,106 MiB,,
20,25.3 MiB,47.1 MiB,98.4 MiB,93.9 MiB,,,,,,,92.1 MiB,105 MiB,100 MiB,98.4 MiB,94.4 MiB,108 MiB,,
25,25.5 MiB,47.1 MiB,105 MiB,95.9 MiB,,,,,,,96.2 MiB,109 MiB,102 MiB,103 MiB,101 MiB,112 MiB,,
30,25.1 MiB,47.1 MiB,111 MiB,100 MiB,,,,,,,98.2 MiB,111 MiB,106 MiB,107 MiB,103 MiB,117 MiB,,
35,25.2 MiB,47.1 MiB,111 MiB,102 MiB,,,,,,,102 MiB,115 MiB,110 MiB,111 MiB,105 MiB,117 MiB,,
40,25.4 MiB,47.1 MiB,111 MiB,104 MiB,,,,,,,106 MiB,115 MiB,110 MiB,111 MiB,107 MiB,119 MiB,,
45,25.4 MiB,47.1 MiB,111 MiB,108 MiB,,,,,,,106 MiB,115 MiB,110 MiB,111 MiB,107 MiB,119 MiB,,
