Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
0,22.8,97.1,174,160,,,,,,,159,164,,,,,,
5,22.9,97.8,174,160,,,,,,,159,164,,,,,,
10,22.6,65.1,174,160,,,,,,,159,168,,,,,,
15,23.7,77.9,176,167,,,,,,,161,170,,,,,,
20,23.9,94.4,178,167,,,,,,,169,173,,,,,,
25,23.4,79.7,187,173,,,,,,,174,176,,,,,,
30,23.1,98.1,200,191,,,,,,,185,194,,,,,,
35,23.6,85.5,204,191,,,,,,,197,195,,,,,,
40,23.6,103,209,195,,,,,,,201,194,,,,,,
45,22.9,77.2,204,196,,,,,,,192,190,,,,,,
50,23.3,79.3,208,196,,,,,,,194,190,,,,,,
55,22.8,79.3,208,196,,,,,,,194,191,,,,,,
60,23.5,79.9,208,197,,,,,,,194,192,,,,,,
65,22.9,80.6,208,197,,,,,,,194,192,,,,,,
