Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
2,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
7,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
12,0.000794,0.00136,0.00151,,,,,,,0.00131,0.00133,0.00128,0.00124,0.00152,0.00127,,
17,0.000798,0.00139,0.00148,,,,,,,0.00142,0.00135,0.00129,0.00143,0.00151,0.00139,,
22,0.000795,0.00137,0.00144,,,,,,,0.00136,0.00134,0.00131,0.00135,0.00145,0.00137,,
27,0.000790,0.00138,0.00145,,,,,,,0.00138,0.00135,0.00133,0.00136,0.00146,0.00138,,
32,0.000828,0.00137,0.00142,,,,,,,0.00139,0.00139,0.00139,0.00134,0.00143,0.00141,,
37,0.00120,0.00142,0.00141,,,,,,,0.00147,0.00146,0.00140,0.00140,0.00147,0.00143,,
42,0.00129,0.00144,0.00138,,,,,,,0.00146,0.00148,0.00142,0.00142,0.00143,0.00141,,
47,0.00141,0.00145,0.00136,,,,,,,0.00144,0.00149,0.00141,0.00143,0.00143,0.00140,,
52,0.000878,0.00139,0.00136,,,,,,,0.00138,0.00143,0.00147,0.00143,0.00138,0.00142,,
57,0.000773,0.00136,0.00138,,,,,,,0.00139,0.00146,0.00143,0.00144,0.00138,0.00147,,
62,0.000782,0.00141,0.00146,,,,,,,0.00142,0.00153,0.00145,0.00150,0.00141,0.00157,,
67,0.000788,0.00146,0.00150,,,,,,,0.00138,0.00161,0.00144,0.00151,0.00143,0.00158,,
