Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
0,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
5,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
10,0.000819,NaN,NaN,,,,,,,NaN,0.00154,NaN,NaN,NaN,NaN,,
15,0.000825,0.00152,0.00150,,,,,,,0.00153,0.00154,0.00152,0.00150,0.00152,0.00154,,
20,0.000836,0.00156,0.00156,,,,,,,0.00158,0.00160,0.00157,0.00159,0.00157,0.00157,,
25,0.000839,0.00159,0.00157,,,,,,,0.00156,0.00159,0.00157,0.00156,0.00156,0.00157,,
30,0.000846,0.00158,0.00157,,,,,,,0.00158,0.00159,0.00158,0.00160,0.00158,0.00157,,
35,0.000847,0.00159,0.00158,,,,,,,0.00158,0.00159,0.00160,0.00160,0.00160,0.00158,,
40,0.000851,0.00158,0.00160,,,,,,,0.00159,0.00161,0.00159,0.00162,0.00163,0.00158,,
45,0.000848,0.00160,0.00160,,,,,,,0.00158,0.00161,0.00160,0.00161,0.00162,0.00158,,
50,0.000850,0.00160,0.00161,,,,,,,0.00159,0.00159,0.00160,0.00161,0.00161,0.00159,,
55,0.000851,0.00161,0.00159,,,,,,,0.00160,0.00158,0.00160,0.00160,0.00160,0.00158,,
60,0.000880,0.00162,0.00161,,,,,,,0.00160,0.00161,0.00161,0.00159,0.00161,0.00160,,
65,0.000899,0.00164,0.00164,,,,,,,0.00162,0.00163,0.00164,0.00162,0.00164,0.00162,,
70,0.000909,0.00165,0.00164,,,,,,,0.00163,0.00164,0.00163,0.00162,0.00164,0.00164,,
75,0.000903,0.00163,0.00164,,,,,,,0.00164,0.00164,0.00162,0.00164,0.00164,0.00164,,
80,0.000900,0.00162,0.00161,,,,,,,0.00163,0.00163,0.00161,0.00164,0.00162,0.00162,,
85,0.000900,0.00162,0.00161,,,,,,,0.00163,0.00162,0.00162,0.00163,0.00162,0.00161,,
90,0.000908,0.00163,0.00161,,,,,,,0.00163,0.00163,0.00165,0.00164,0.00163,0.00161,,
95,0.000916,0.00165,0.00163,,,,,,,0.00166,0.00165,0.00166,0.00165,0.00164,0.00162,,
100,0.000919,0.00167,0.00167,,,,,,,0.00168,0.00169,0.00169,0.00168,0.00167,0.00166,,
105,0.000948,0.00171,0.00171,,,,,,,0.00170,0.00173,0.00172,0.00173,0.00171,0.00170,,
110,0.000954,0.00173,0.00176,,,,,,,0.00171,0.00176,0.00175,0.00173,0.00176,0.00176,,
115,0.000970,0.00176,0.00176,,,,,,,0.00175,0.00175,0.00176,0.00175,0.00177,0.00176,,
120,0.000963,0.00176,0.00177,,,,,,,0.00175,0.00174,0.00175,0.00175,0.00177,0.00177,,
125,0.000977,0.00176,0.00174,,,,,,,0.00173,0.00171,0.00172,0.00177,0.00171,0.00173,,
130,0.000973,0.00174,0.00172,,,,,,,0.00170,0.00172,0.00169,0.00174,0.00169,0.00173,,
135,0.000963,0.00174,0.00171,,,,,,,0.00171,0.00169,0.00168,0.00172,0.00168,0.00171,,
140,0.00111,0.00174,0.00174,,,,,,,0.00174,0.00182,0.00177,0.00169,0.00172,0.00177,,
145,0.00169,0.00196,0.00209,,,,,,,0.00205,0.00213,0.00215,0.00195,0.00204,0.00210,,
150,0.00212,0.00234,0.00235,,,,,,,0.00234,0.00241,0.00241,0.00227,0.00235,0.00234,,
155,0.00243,0.00261,0.00261,,,,,,,0.00262,0.00263,0.00261,0.00253,0.00260,0.00259,,
160,0.00242,0.00283,0.00261,,,,,,,0.00269,0.00267,0.00256,0.00265,0.00260,0.00260,,
165,0.00238,0.00275,0.00259,,,,,,,0.00266,0.00260,0.00254,0.00264,0.00258,0.00261,,
170,0.00238,0.00268,0.00255,,,,,,,0.00259,0.00255,0.00250,0.00260,0.00254,0.00255,,
175,0.00237,0.00257,0.00254,,,,,,,0.00253,0.00253,0.00253,0.00251,0.00253,0.00257,,
180,0.00236,0.00258,0.00258,,,,,,,0.00256,0.00256,0.00256,0.00252,0.00255,0.00256,,
185,0.00242,0.00265,0.00259,,,,,,,0.00255,0.00262,0.00266,0.00255,0.00259,0.00261,,
190,0.00238,0.00272,0.00268,,,,,,,0.00263,0.00263,0.00267,0.00266,0.00267,0.00261,,
195,0.00248,0.00269,0.00265,,,,,,,0.00259,0.00263,0.00269,0.00261,0.00263,0.00267,,
200,0.00237,0.00267,0.00264,,,,,,,0.00265,0.00255,0.00259,0.00265,0.00261,0.00264,,
205,0.00253,0.00268,0.00262,,,,,,,0.00259,0.00259,0.00263,0.00264,0.00258,0.00267,,
210,0.00243,0.00268,0.00261,,,,,,,0.00260,0.00258,0.00259,0.00266,0.00260,0.00261,,
