Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
3,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
8,0.000796,0.00143,0.00142,,,,,,,0.00148,0.00145,0.00148,0.00155,0.00146,0.00140,,
13,0.000818,0.00146,0.00146,,,,,,,0.00144,0.00149,0.00146,0.00147,0.00146,0.00143,,
18,0.000850,0.00151,0.00150,,,,,,,0.00152,0.00153,0.00154,0.00153,0.00152,0.00155,,
23,0.000864,0.00156,0.00156,,,,,,,0.00156,0.00159,0.00158,0.00156,0.00158,0.00160,,
28,0.000888,0.00160,0.00161,,,,,,,0.00162,0.00163,0.00162,0.00160,0.00163,0.00164,,
33,0.000890,0.00163,0.00164,,,,,,,0.00164,0.00166,0.00165,0.00164,0.00165,0.00165,,
38,0.000877,0.00164,0.00163,,,,,,,0.00163,0.00163,0.00163,0.00164,0.00164,0.00163,,
43,0.000835,0.00161,0.00159,,,,,,,0.00160,0.00160,0.00160,0.00161,0.00159,0.00160,,
48,0.000792,0.00157,0.00156,,,,,,,0.00156,0.00155,0.00153,0.00156,0.00155,0.00155,,
53,0.000762,0.00152,0.00151,,,,,,,0.00151,0.00157,0.00153,0.00152,0.00149,0.00153,,
58,0.000763,0.00149,0.00156,,,,,,,0.00152,0.00113,0.00113,0.00153,0.00157,0.00136,,
63,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
68,NaN,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
