Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,23.3 MiB,78.0 MiB,157 MiB,149 MiB,,,,,,,147 MiB,149 MiB,,,,,,
5,22.9 MiB,78.0 MiB,157 MiB,149 MiB,,,,,,,147 MiB,149 MiB,,,,,,
10,23.1 MiB,84.7 MiB,157 MiB,148 MiB,,,,,,,147 MiB,158 MiB,,,,,,
15,23 MiB,86.6 MiB,161 MiB,151 MiB,,,,,,,149 MiB,162 MiB,,,,,,
20,23.1 MiB,93.4 MiB,159 MiB,149 MiB,,,,,,,149 MiB,154 MiB,,,,,,
25,22.9 MiB,68.9 MiB,168 MiB,157 MiB,,,,,,,157 MiB,159 MiB,,,,,,
30,23.0 MiB,83.8 MiB,167 MiB,160 MiB,,,,,,,158 MiB,159 MiB,,,,,,
35,22.8 MiB,89.0 MiB,169 MiB,159 MiB,,,,,,,159 MiB,161 MiB,,,,,,
40,23.1 MiB,95.6 MiB,171 MiB,156 MiB,,,,,,,159 MiB,164 MiB,,,,,,
45,22.8 MiB,96.3 MiB,174 MiB,162 MiB,,,,,,,159 MiB,164 MiB,,,,,,
50,23.4 MiB,96.6 MiB,174 MiB,160 MiB,,,,,,,159 MiB,164 MiB,,,,,,
