Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
273,23.3 MiB,116 MiB,278 MiB,254 MiB,,,,,,,257 MiB,225 MiB,,,,,,
278,23.2 MiB,118 MiB,235 MiB,219 MiB,,,,,,,221 MiB,223 MiB,,,,,,
283,22.6 MiB,87.2 MiB,256 MiB,243 MiB,,,,,,,244 MiB,247 MiB,,,,,,
288,22.8 MiB,86.4 MiB,269 MiB,251 MiB,,,,,,,248 MiB,253 MiB,,,,,,
293,22.7 MiB,94.3 MiB,273 MiB,257 MiB,,,,,,,257 MiB,259 MiB,,,,,,
298,22.7 MiB,95.8 MiB,275 MiB,259 MiB,,,,,,,260 MiB,261 MiB,,,,,,
303,22.5 MiB,99.2 MiB,275 MiB,256 MiB,,,,,,,258 MiB,233 MiB,,,,,,
308,22.9 MiB,81.2 MiB,257 MiB,237 MiB,,,,,,,229 MiB,235 MiB,,,,,,
313,23.2 MiB,86.3 MiB,252 MiB,237 MiB,,,,,,,235 MiB,235 MiB,,,,,,
318,22.5 MiB,86.8 MiB,256 MiB,237 MiB,,,,,,,235 MiB,235 MiB,,,,,,
323,22.8 MiB,87.4 MiB,257 MiB,238 MiB,,,,,,,235 MiB,235 MiB,,,,,,
328,22.8 MiB,88.0 MiB,257 MiB,239 MiB,,,,,,,236 MiB,235 MiB,,,,,,
