Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
5,0.000912,NaN,,,,,,,,,,,,,,,
10,0.000785,0.000970,0.00120,,,,,,,,,,,,,,
15,0.000785,0.000970,0.00110,,,,,,,,,,,,,,
20,0.000658,0.000970,0.00110,,,,,,,,,,,,,,
25,0.000770,0.000805,0.000993,,,,,,,,,,,,,,
30,0.000782,0.000954,0.000939,,,,,,,,,,,,,,
35,0.000785,0.00100,0.00100,,,,,,,,,,,,,,
40,0.000783,0.00102,0.00101,,,,,,,,,,,,,,
45,0.000782,0.00102,0.00100,,,,,,,,,,,,,,
50,0.00115,0.00100,0.000977,,,,,,,,,,,,,,
55,0.00172,0.00138,0.00131,,,,,,,,,,,,,,
60,0.00224,0.00155,0.00150,,,,,,,,,,,,,,
65,0.00275,0.00204,0.00186,,,,,,,,,,,,,,
70,0.000787,0.000999,0.00144,,,,,,,,,,,,,,
75,0.000763,0.00110,0.00112,,,,,,,,,,,,,,
80,0.000763,0.00108,0.00108,,,,,,,,,,,,,,
85,0.000758,0.00107,0.00107,,,,,,,,,,,,,,
90,0.000754,0.00106,0.00105,,,,,,,,,,,,,,
95,0.000746,0.00108,0.00107,,,,,,,,,,,,,,
100,0.000746,0.00109,0.00108,,,,,,,,,,,,,,
105,0.000748,0.00110,0.00112,,,,,,,,,,,,,,
110,0.000762,0.00110,0.00111,,,,,,,,,,,,,,
115,0.000880,0.00123,0.00117,,,,,,,,,,,,,,
120,0.000812,0.00103,0.00101,,,,,,,,,,,,,,
125,0.000810,0.00112,0.00111,,,,,,,,,,,,,,
130,0.000810,0.00111,0.00110,,,,,,,,,,,,,,
135,0.000802,0.00111,0.00110,,,,,,,,,,,,,,
140,0.000802,0.00111,0.00111,,,,,,,,,,,,,,
145,0.000798,0.00111,0.00112,,,,,,,,,,,,,,
150,0.000803,0.00110,0.00111,,,,,,,,,,,,,,
