Time,Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s),Block Storage Commit Latency (s)
385,0.00131,0.00159,0.00158,,,,,,,0.00162,0.00157,,,,,,
390,0.00133,0.00159,0.00161,,,,,,,0.00162,0.00159,,,,,,
395,0.00134,0.00158,0.00161,,,,,,,0.00160,0.00160,,,,,,
400,0.00132,0.00160,0.00163,,,,,,,0.00160,0.00162,,,,,,
405,0.00134,0.00162,0.00162,,,,,,,0.00161,0.00162,,,,,,
410,0.00135,0.00161,0.00161,,,,,,,0.00161,0.00162,,,,,,
415,0.00135,0.00161,0.00162,,,,,,,0.00162,0.00162,,,,,,
420,0.00134,0.00161,0.00162,,,,,,,0.00164,0.00162,,,,,,
425,0.00134,0.00162,0.00164,,,,,,,0.00165,0.00164,,,,,,
430,0.00135,0.00163,0.00166,,,,,,,0.00166,0.00166,,,,,,
435,0.00136,0.00163,0.00163,,,,,,,0.00164,0.00163,,,,,,
440,0.00134,0.00163,0.00163,,,,,,,0.00164,0.00163,,,,,,
445,0.00136,0.00163,0.00163,,,,,,,0.00164,0.00162,,,,,,
450,0.00135,0.00163,0.00165,,,,,,,0.00167,0.00164,,,,,,
455,0.00138,0.00169,0.00166,,,,,,,0.00167,0.00166,,,,,,
460,0.00141,0.00169,0.00167,,,,,,,0.00169,0.00167,,,,,,
465,0.00140,0.00168,0.00169,,,,,,,0.00165,0.00167,,,,,,
470,0.00137,0.00163,0.00167,,,,,,,0.00164,0.00167,,,,,,
475,0.00134,0.00163,0.00163,,,,,,,0.00161,0.00164,,,,,,
480,0.00134,0.00163,0.00164,,,,,,,0.00164,0.00163,,,,,,
485,0.00136,0.00165,0.00165,,,,,,,0.00167,0.00162,,,,,,
490,0.00138,0.00166,0.00167,,,,,,,0.00168,0.00165,,,,,,
495,0.00134,0.00166,0.00165,,,,,,,0.00165,0.00165,,,,,,
500,0.00135,0.00164,0.00165,,,,,,,0.00163,0.00165,,,,,,
505,0.00135,0.00161,0.00163,,,,,,,0.00165,0.00163,,,,,,
510,0.00136,0.00162,0.00165,,,,,,,0.00167,0.00164,,,,,,
515,0.00124,0.00159,0.00162,,,,,,,0.00161,0.00162,,,,,,
520,0.00110,0.00153,0.00155,,,,,,,0.00150,0.00155,,,,,,
525,0.000932,0.00143,0.00144,,,,,,,0.00138,0.00145,,,,,,
530,0.000854,0.00128,0.00132,,,,,,,0.00124,0.00128,,,,,,
535,0.00355,0.00131,0.00127,,,,,,,0.00247,0.00128,,,,,,
540,0.00114,0.00150,0.00161,,,,,,,0.00149,0.00156,,,,,,
545,0.00127,0.00159,0.00155,,,,,,,0.00161,0.00157,,,,,,
