Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
4791,238184,238181,240941
4796,243126,243123,245811
4801,248012,248003,250721
4806,252872,252872,255631
4811,257835,257826,260521
4816,262252,262252,263591
4821,264682,264682,264794
4826,264807,264807,264794
4831,264807,264807,264794
4836,264807,264807,264794
4841,264807,264807,264800
4846,266423,266420,268420
4851,270553,270546,272670
4856,274185,274185,274790
4861,274807,274807,274794
4866,274807,274807,274794
4871,274807,274807,274794
4876,274807,274807,274794
4881,274815,274807,274794
4886,274839,274807,274794
4891,274877,274807,274794
4896,274929,274807,274794
4901,274983,274807,274794
4906,275035,274807,274794
4911,275089,274807,274794
4916,275145,274807,274794
4921,275200,274807,274794
4926,275259,274807,274794
4931,275315,274807,274794
4936,275375,274807,274794
4941,275435,274807,274794
4946,275499,274807,274794
4951,275561,274807,274794
4956,275625,274807,274794
4961,275691,274807,274794
4966,275757,274807,274794
4971,275827,274807,274794
4976,275899,274807,274794
4981,275969,274807,274794
4986,276043,274807,274794
4991,276120,274807,274794
4996,276197,274807,274794
5001,276277,274807,274794
5006,276359,274807,274794
5011,276443,274807,274794
5016,276530,274807,274794
5021,276619,274807,274794
5026,276711,274807,274794
5031,276806,274807,274794
5036,276903,274807,274794
5041,277005,274807,274794
5046,277110,274807,274794
5051,277217,274807,274794
5056,277330,274807,274794
5061,277447,274807,274794
5066,277567,274807,274794
5071,277694,274807,274794
5076,277827,274807,274794
5081,277965,274807,274794
5086,278109,274807,274794
5091,278262,274807,274794
5096,278422,274807,274794
5101,278591,274807,274794
5106,278769,274807,274794
5111,278959,274807,274794
5116,279163,274807,274794
5121,279381,274807,274794
5126,279616,274807,274794
5131,279871,274807,274794
5136,280150,274807,274794
5141,280456,274807,274794
5146,280797,274807,274794
5151,281185,274807,274794
5156,281627,274807,274794
5161,282151,274807,274794
5166,282649,274807,274794
5171,282956,274807,274794
5176,283297,274807,274794
5181,283684,274807,274794
5186,284127,274807,274794
5191,284356,274807,274794
5196,284356,274807,274794
5201,284356,274807,274794
5206,284356,274807,274794
5211,284356,274807,274794
5216,284356,274807,274794
5221,284356,274807,274794
5226,284356,274807,274794
5231,284356,274807,274794
5236,284353,274804,274794
5256,8,8,
5261,20,20,
5266,25,25,
5271,25,25,
5276,25,25,
5281,25,25,
5286,25,25,
5291,25,25,
5296,25,25,
5301,79,79,120
5306,218,218,290
5311,406,406,480
5316,593,593,670
5321,796,796,910
5326,1045,1045,1160
5331,1244,1244,1280
5336,1355,1355,1360
5341,1418,1418,1420
5346,1480,1480,1490
5351,1529,1529,1504
5356,1529,1529,1504
5361,1529,1529,1504
5366,1529,1529,1504
5371,1529,1529,1504
5376,1529,1529,1604
5381,1908,1908,2234
5386,2660,2660,3274
5391,3849,3849,4524
5396,5099,5099,5774
5401,6349,6349,7024
5406,7599,7599,8164
5411,8472,8472,8794
5416,8971,8971,9004
5421,9033,9033,9008
5426,9033,9033,9008
5431,9033,9033,9008
5436,9033,9033,9008
5441,9033,9033,9008
5446,9033,9033,9008
5451,9033,9033,9008
5456,9239,9238,9748
5461,10321,10321,11108
5466,12230,12228,13608
5471,14730,14728,16108
5476,17230,17226,18608
5481,19731,19731,21108
5486,22026,22024,22868
5491,23444,23443,24008
5496,24035,24035,24010
5501,24035,24035,24010
5506,24035,24035,24010
5511,24035,24035,24010
5516,24035,24035,24010
5521,24035,24035,24010
5526,24035,24035,24010
5531,24035,24035,24020
5536,24309,24309,25120
5541,26072,26072,27330
5546,28362,28362,29630
5551,30662,30661,31920
5556,32944,32944,34210
5561,35243,35243,36520
5566,37545,37544,38810
5571,39856,39856,41130
5576,42174,42173,43490
5581,44602,44601,45990
5586,47132,47131,48530
5591,49684,49684,51080
5596,52225,52225,53620
5601,54761,54759,56170
5606,57317,57317,58720
5611,59872,59868,61260
5616,62391,62391,63820
5621,65011,65011,66540
