Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
3431,1,,,,,,,,,,,,,,,,
3436,1,1,1,,,,,,,,,,,,,,
3441,3,1,2,,,,,,,,,,,,,,
3446,3,3,3,,,,,,,,,,,,,,
3451,3,3,3,,,,,,,,,,,,,,
3456,10,3,3,,,,,,,,,,,,,,
3461,35,19,26,,,,,,,,,,,,,,
3466,60,44,51,,,,,,,,,,,,,,
3471,85,69,76,,,,,,,,,,,,,,
3476,110,94,101,,,,,,,,,,,,,,
3481,135,119,126,,,,,,,,,,,,,,
3486,153,144,151,,,,,,,,,,,,,,
3491,154,154,154,,,,,,,,,,,,,,
3496,154,154,154,,,,,,,,,,,,,,
3501,210,154,177,,,,,,,,,,,,,,
3506,335,259,291,,,,,,,,,,,,,,
3511,460,384,416,,,,,,,,,,,,,,
3516,585,509,541,,,,,,,,,,,,,,
3521,710,634,666,,,,,,,,,,,,,,
3526,835,759,791,,,,,,,,,,,,,,
3531,904,884,893,,,,,,,,,,,,,,
3536,905,905,905,,,,,,,,,,,,,,
3541,905,905,905,,,,,,,,,,,,,,
3546,992,905,905,,,,,,,,,,,,,,
3551,1.24 K,1.09 K,1.15 K,,,,,,,,,,,,,,
3556,1.49 K,1.34 K,1.40 K,,,,,,,,,,,,,,
3561,1.74 K,1.59 K,1.65 K,,,,,,,,,,,,,,
3566,1.99 K,1.84 K,1.90 K,,,,,,,,,,,,,,
3571,2.24 K,2.09 K,2.15 K,,,,,,,,,,,,,,
3576,2.40 K,2.34 K,2.40 K,,,,,,,,,,,,,,
3581,2.41 K,2.41 K,2.41 K,,,,,,,,,,,,,,
3586,2.41 K,2.41 K,2.41 K,,,,,,,,,,,,,,
3591,2.53 K,2.42 K,2.46 K,,,,,,,,,,,,,,
3596,2.78 K,2.63 K,2.69 K,,,,,,,,,,,,,,
3601,3.02 K,2.87 K,2.94 K,,,,,,,,,,,,,,
3606,3.27 K,3.12 K,3.18 K,,,,,,,,,,,,,,
3611,3.51 K,3.36 K,3.43 K,,,,,,,,,,,,,,
3616,3.76 K,3.61 K,3.67 K,,,,,,,,,,,,,,
3621,4.00 K,3.85 K,3.92 K,,,,,,,,,,,,,,
3626,4.25 K,4.10 K,4.16 K,,,,,,,,,,,,,,
3631,4.50 K,4.34 K,4.41 K,,,,,,,,,,,,,,
