Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
2,49,49,
7,49,49,
12,49,49,
17,49,49,
22,49,49,
27,49,49,
32,49,49,
37,49,49,30
42,108,108,90
47,170,170,150
52,233,233,210
57,335,335,390
62,524,524,580
67,710,710,760
72,898,898,950
77,1084,1084,1140
82,1273,1273,1320
87,1421,1421,1400
92,1484,1484,1470
97,1546,1546,1504
102,1553,1553,1504
107,1553,1553,1504
112,1553,1553,1504
117,1553,1553,1504
122,1553,1553,1504
127,1553,1553,1504
132,1553,1553,1504
137,1553,1553,1504
142,1553,1553,1504
147,1553,1553,1504
