Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
2,9057,9057,9008
7,9057,9057,9008
12,9057,9057,9008
17,9057,9057,9008
22,9057,9057,9008
27,9057,9057,9008
32,9057,9057,9008
37,9057,9057,9318
42,9870,9868,10518
47,11119,11118,11838
52,12710,12710,13988
57,15174,15127,16468
62,17671,17601,18908
67,20136,20128,21128
72,21854,21853,22498
77,23104,23101,23688
82,24011,24011,23995
87,24044,24044,23995
92,24044,24044,23995
97,24044,24044,23995
102,24044,24044,23995
107,24044,24044,23995
112,24044,24044,23995
117,24044,24044,23995
122,24044,24044,23995
127,24044,24044,23995
