Time,Endorsement Failures,Orderer Broadcast Errors,MVCC Conflicts
2,0,0,0
7,0,0,0
12,0,0,0
17,0,0,0
22,0,0,0
27,0,0,0
32,0,0,0
37,0,0,0
42,0,0,0
47,0,0,0
52,0,0,0
57,0,0,0
62,0,0,0
67,0,0,0
72,0,0,0
77,0,0,0
82,0,0,0
87,0,0,0
92,0,0,0
97,0,0,0
102,0,0,0
107,0,0,0
112,0,0,0
117,0,0,0
122,0,0,0
127,0,0,0
132,0,0,0
137,0,0,0
142,0,0,0
147,0,0,0
