"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2026-04-14 21:04:30,30.5 GiB,11.6 GiB,11.3 GiB,7.59 GiB,8 KiB
2026-04-14 21:04:45,30.5 GiB,11.7 GiB,11.4 GiB,7.39 GiB,8 KiB
2026-04-14 21:05:00,30.5 GiB,11.9 GiB,11.4 GiB,7.19 GiB,8 KiB
2026-04-14 21:05:15,30.5 GiB,11.9 GiB,11.5 GiB,7.10 GiB,8 KiB
2026-04-14 21:05:30,30.5 GiB,11.9 GiB,11.6 GiB,6.94 GiB,8 KiB
2026-04-14 21:05:45,30.5 GiB,12.0 GiB,11.8 GiB,6.71 GiB,8 KiB
2026-04-14 21:06:00,30.5 GiB,12.3 GiB,11.9 GiB,6.31 GiB,8 KiB
2026-04-14 21:06:15,30.5 GiB,12.4 GiB,12.2 GiB,5.92 GiB,8 KiB
2026-04-14 21:06:30,30.5 GiB,12.7 GiB,12.5 GiB,5.30 GiB,8 KiB
2026-04-14 21:06:45,30.5 GiB,12.9 GiB,12.6 GiB,4.96 GiB,8 KiB
2026-04-14 21:07:00,30.5 GiB,12.9 GiB,12.6 GiB,4.97 GiB,8 KiB
2026-04-14 21:07:15,30.5 GiB,12.9 GiB,12.8 GiB,4.80 GiB,8 KiB
2026-04-14 21:07:30,30.5 GiB,13.0 GiB,13.0 GiB,4.42 GiB,8 KiB
2026-04-14 21:07:45,30.5 GiB,13.0 GiB,13.0 GiB,4.46 GiB,8 KiB
2026-04-14 21:08:00,30.5 GiB,13.6 GiB,13.0 GiB,3.89 GiB,8 KiB
2026-04-14 21:08:15,30.5 GiB,16.1 GiB,13.1 GiB,1.31 GiB,8 KiB
2026-04-14 21:08:30,30.5 GiB,17.5 GiB,11.9 GiB,1.15 GiB,8 KiB
2026-04-14 21:08:45,30.5 GiB,16.5 GiB,11.9 GiB,2.07 GiB,8 KiB
2026-04-14 21:09:00,30.5 GiB,17.5 GiB,11.9 GiB,1.08 GiB,8 KiB
2026-04-14 21:09:15,30.5 GiB,16.8 GiB,11.9 GiB,1.75 GiB,8 KiB
2026-04-14 21:09:30,30.5 GiB,18.5 GiB,11.7 GiB,374 MiB,8 KiB
2026-04-14 21:09:45,30.5 GiB,15.7 GiB,11.7 GiB,3.16 GiB,8 KiB
2026-04-14 21:10:00,30.5 GiB,10.1 GiB,11.5 GiB,8.93 GiB,8 KiB
2026-04-14 21:10:15,30.5 GiB,11.1 GiB,11.5 GiB,7.92 GiB,8 KiB
2026-04-14 21:10:30,30.5 GiB,11.8 GiB,11.5 GiB,7.15 GiB,8 KiB
2026-04-14 21:10:45,30.5 GiB,12.2 GiB,11.5 GiB,6.81 GiB,8 KiB
2026-04-14 21:11:00,30.5 GiB,12.1 GiB,11.5 GiB,6.89 GiB,8 KiB
2026-04-14 21:11:15,30.5 GiB,12.2 GiB,11.5 GiB,6.81 GiB,8 KiB
2026-04-14 21:11:30,30.5 GiB,12.4 GiB,11.5 GiB,6.55 GiB,8 KiB
2026-04-14 21:11:45,30.5 GiB,12.6 GiB,11.5 GiB,6.34 GiB,8 KiB
2026-04-14 21:12:00,30.5 GiB,12.9 GiB,11.6 GiB,6.04 GiB,8 KiB
2026-04-14 21:12:15,30.5 GiB,13.0 GiB,11.6 GiB,5.89 GiB,8 KiB
2026-04-14 21:12:30,30.5 GiB,13.1 GiB,11.6 GiB,5.79 GiB,8 KiB
2026-04-14 21:12:45,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
2026-04-14 21:13:00,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
2026-04-14 21:13:15,30.5 GiB,13.1 GiB,11.6 GiB,5.75 GiB,8 KiB
2026-04-14 21:13:30,30.5 GiB,13.1 GiB,11.6 GiB,5.75 GiB,8 KiB
2026-04-14 21:13:45,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
2026-04-14 21:14:00,30.5 GiB,13.1 GiB,11.7 GiB,5.70 GiB,8 KiB
2026-04-14 21:14:15,30.5 GiB,13.4 GiB,11.8 GiB,5.29 GiB,8 KiB
2026-04-14 21:14:30,30.5 GiB,13.5 GiB,11.9 GiB,5.05 GiB,8 KiB
2026-04-14 21:14:45,30.5 GiB,13.6 GiB,12.1 GiB,4.74 GiB,8 KiB
2026-04-14 21:15:00,30.5 GiB,13.7 GiB,12.3 GiB,4.47 GiB,8 KiB
2026-04-14 21:15:15,30.5 GiB,13.9 GiB,12.5 GiB,4.05 GiB,8 KiB
2026-04-14 21:15:30,30.5 GiB,14.3 GiB,12.8 GiB,3.31 GiB,8 KiB
2026-04-14 21:15:45,30.5 GiB,14.8 GiB,13.3 GiB,2.34 GiB,8 KiB
2026-04-14 21:16:00,30.5 GiB,15.3 GiB,13.8 GiB,1.37 GiB,8 KiB
2026-04-14 21:16:15,30.5 GiB,15.1 GiB,13.8 GiB,1.49 GiB,8 KiB
2026-04-14 21:16:30,30.5 GiB,15.1 GiB,13.8 GiB,1.51 GiB,8 KiB
2026-04-14 21:16:45,30.5 GiB,15.1 GiB,13.8 GiB,1.49 GiB,8 KiB
2026-04-14 21:17:00,30.5 GiB,15.1 GiB,13.9 GiB,1.49 GiB,8 KiB
2026-04-14 21:17:15,30.5 GiB,15.0 GiB,14.2 GiB,1.27 GiB,8 KiB
2026-04-14 21:17:30,30.5 GiB,15.0 GiB,14.2 GiB,1.25 GiB,8 KiB
2026-04-14 21:17:45,30.5 GiB,15.1 GiB,14.6 GiB,760 MiB,8 KiB
2026-04-14 21:18:00,30.5 GiB,15.1 GiB,14.6 GiB,768 MiB,8 KiB
2026-04-14 21:18:15,30.5 GiB,15.1 GiB,14.6 GiB,777 MiB,8 KiB
2026-04-14 21:18:30,30.5 GiB,15.1 GiB,14.6 GiB,791 MiB,8 KiB
2026-04-14 21:18:45,30.5 GiB,15.1 GiB,14.6 GiB,816 MiB,8 KiB
2026-04-14 21:19:00,30.5 GiB,17.3 GiB,12.5 GiB,750 MiB,8 KiB
2026-04-14 21:19:15,30.5 GiB,18.7 GiB,11.2 GiB,607 MiB,204 KiB
2026-04-14 21:19:30,30.5 GiB,17.0 GiB,11.1 GiB,2.37 GiB,204 KiB
2026-04-14 21:19:45,30.5 GiB,18.0 GiB,11.2 GiB,1.27 GiB,204 KiB
2026-04-14 21:20:00,30.5 GiB,17.3 GiB,11.2 GiB,2.01 GiB,204 KiB
2026-04-14 21:20:15,30.5 GiB,18.6 GiB,11.2 GiB,703 MiB,204 KiB
2026-04-14 21:20:30,30.5 GiB,15.7 GiB,11.2 GiB,3.62 GiB,204 KiB
2026-04-14 21:20:45,30.5 GiB,14.3 GiB,11.0 GiB,5.17 GiB,204 KiB
2026-04-14 21:21:00,30.5 GiB,9.91 GiB,11.0 GiB,9.57 GiB,164 KiB
