Time,RAM Total,RAM Used,RAM Cache + Buffer,RAM Free,SWAP Used
0,30.5 GiB,14.0 GiB,11.2 GiB,5.32 GiB,8 KiB
15,30.5 GiB,9.63 GiB,11.2 GiB,9.66 GiB,8 KiB
30,30.5 GiB,10.1 GiB,11.2 GiB,9.20 GiB,8 KiB
45,30.5 GiB,10.9 GiB,11.2 GiB,8.42 GiB,8 KiB
60,30.5 GiB,11.0 GiB,11.2 GiB,8.33 GiB,8 KiB
75,30.5 GiB,11.1 GiB,11.2 GiB,8.13 GiB,8 KiB
90,30.5 GiB,11.4 GiB,11.2 GiB,7.86 GiB,8 KiB
105,30.5 GiB,11.5 GiB,11.3 GiB,7.76 GiB,8 KiB
120,30.5 GiB,11.5 GiB,11.3 GiB,7.67 GiB,8 KiB
135,30.5 GiB,11.6 GiB,11.3 GiB,7.63 GiB,8 KiB
150,30.5 GiB,11.6 GiB,11.3 GiB,7.63 GiB,8 KiB
165,30.5 GiB,11.6 GiB,11.3 GiB,7.59 GiB,8 KiB
180,30.5 GiB,11.7 GiB,11.4 GiB,7.39 GiB,8 KiB
195,30.5 GiB,11.9 GiB,11.4 GiB,7.19 GiB,8 KiB
210,30.5 GiB,11.9 GiB,11.5 GiB,7.10 GiB,8 KiB
225,30.5 GiB,11.9 GiB,11.6 GiB,6.94 GiB,8 KiB
240,30.5 GiB,12.0 GiB,11.8 GiB,6.71 GiB,8 KiB
255,30.5 GiB,12.3 GiB,11.9 GiB,6.31 GiB,8 KiB
270,30.5 GiB,12.4 GiB,12.2 GiB,5.92 GiB,8 KiB
285,30.5 GiB,12.7 GiB,12.5 GiB,5.30 GiB,8 KiB
300,30.5 GiB,12.9 GiB,12.6 GiB,4.96 GiB,8 KiB
315,30.5 GiB,12.9 GiB,12.6 GiB,4.97 GiB,8 KiB
330,30.5 GiB,12.9 GiB,12.8 GiB,4.80 GiB,8 KiB
345,30.5 GiB,13.0 GiB,13.0 GiB,4.42 GiB,8 KiB
360,30.5 GiB,13.0 GiB,13.0 GiB,4.46 GiB,8 KiB
375,30.5 GiB,13.6 GiB,13.0 GiB,3.89 GiB,8 KiB
390,30.5 GiB,16.1 GiB,13.1 GiB,1.31 GiB,8 KiB
405,30.5 GiB,17.5 GiB,11.9 GiB,1.15 GiB,8 KiB
420,30.5 GiB,16.5 GiB,11.9 GiB,2.07 GiB,8 KiB
435,30.5 GiB,17.5 GiB,11.9 GiB,1.08 GiB,8 KiB
450,30.5 GiB,16.8 GiB,11.9 GiB,1.75 GiB,8 KiB
465,30.5 GiB,18.5 GiB,11.7 GiB,374 MiB,8 KiB
480,30.5 GiB,15.7 GiB,11.7 GiB,3.16 GiB,8 KiB
495,30.5 GiB,10.1 GiB,11.5 GiB,8.93 GiB,8 KiB
