Time,RAM Total,RAM Used,RAM Cache + Buffer,RAM Free,SWAP Used
0,30.5 GiB,9.55 GiB,11.4 GiB,9.52 GiB,8 KiB
15,30.5 GiB,10.1 GiB,11.4 GiB,8.94 GiB,8 KiB
30,30.5 GiB,10.7 GiB,11.4 GiB,8.40 GiB,8 KiB
45,30.5 GiB,10.6 GiB,11.4 GiB,8.42 GiB,8 KiB
60,30.5 GiB,10.6 GiB,11.5 GiB,8.39 GiB,8 KiB
75,30.5 GiB,10.7 GiB,11.5 GiB,8.35 GiB,8 KiB
90,30.5 GiB,10.8 GiB,11.5 GiB,8.22 GiB,8 KiB
105,30.5 GiB,11.0 GiB,11.5 GiB,7.97 GiB,8 KiB
120,30.5 GiB,11.0 GiB,11.6 GiB,7.87 GiB,8 KiB
135,30.5 GiB,11.1 GiB,11.7 GiB,7.69 GiB,8 KiB
150,30.5 GiB,11.2 GiB,11.7 GiB,7.56 GiB,8 KiB
165,30.5 GiB,11.2 GiB,11.8 GiB,7.47 GiB,8 KiB
180,30.5 GiB,11.3 GiB,12.0 GiB,7.20 GiB,8 KiB
195,30.5 GiB,11.4 GiB,12.2 GiB,6.84 GiB,8 KiB
210,30.5 GiB,11.5 GiB,12.3 GiB,6.75 GiB,8 KiB
225,30.5 GiB,11.4 GiB,12.3 GiB,6.77 GiB,8 KiB
240,30.5 GiB,11.5 GiB,12.5 GiB,6.48 GiB,8 KiB
255,30.5 GiB,11.5 GiB,12.5 GiB,6.46 GiB,8 KiB
270,30.5 GiB,13.3 GiB,12.6 GiB,4.60 GiB,8 KiB
285,30.5 GiB,14.9 GiB,12.7 GiB,2.89 GiB,8 KiB
300,30.5 GiB,15.8 GiB,12.8 GiB,1.87 GiB,8 KiB
315,30.5 GiB,17.2 GiB,12.8 GiB,499 MiB,8 KiB
330,30.5 GiB,16.4 GiB,12.6 GiB,1.42 GiB,8 KiB
345,30.5 GiB,18.3 GiB,12.0 GiB,253 MiB,8 KiB
