Time,RAM Total,RAM Used,RAM Cache + Buffer,RAM Free,SWAP Used
1170,30.5 GiB,16.8 GiB,11.9 GiB,1.75 GiB,8 KiB
1185,30.5 GiB,18.5 GiB,11.7 GiB,374 MiB,8 KiB
1200,30.5 GiB,15.7 GiB,11.7 GiB,3.16 GiB,8 KiB
1215,30.5 GiB,10.1 GiB,11.5 GiB,8.93 GiB,8 KiB
1230,30.5 GiB,11.1 GiB,11.5 GiB,7.92 GiB,8 KiB
1245,30.5 GiB,11.8 GiB,11.5 GiB,7.15 GiB,8 KiB
1260,30.5 GiB,12.2 GiB,11.5 GiB,6.81 GiB,8 KiB
1275,30.5 GiB,12.1 GiB,11.5 GiB,6.89 GiB,8 KiB
1290,30.5 GiB,12.2 GiB,11.5 GiB,6.81 GiB,8 KiB
1305,30.5 GiB,12.4 GiB,11.5 GiB,6.55 GiB,8 KiB
1320,30.5 GiB,12.6 GiB,11.5 GiB,6.34 GiB,8 KiB
1335,30.5 GiB,12.9 GiB,11.6 GiB,6.04 GiB,8 KiB
1350,30.5 GiB,13.0 GiB,11.6 GiB,5.89 GiB,8 KiB
1365,30.5 GiB,13.1 GiB,11.6 GiB,5.79 GiB,8 KiB
1380,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
1395,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
1410,30.5 GiB,13.1 GiB,11.6 GiB,5.75 GiB,8 KiB
1425,30.5 GiB,13.1 GiB,11.6 GiB,5.75 GiB,8 KiB
1440,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
1455,30.5 GiB,13.1 GiB,11.7 GiB,5.70 GiB,8 KiB
1470,30.5 GiB,13.4 GiB,11.8 GiB,5.29 GiB,8 KiB
1485,30.5 GiB,13.5 GiB,11.9 GiB,5.05 GiB,8 KiB
1500,30.5 GiB,13.6 GiB,12.1 GiB,4.74 GiB,8 KiB
1515,30.5 GiB,13.7 GiB,12.3 GiB,4.47 GiB,8 KiB
1530,30.5 GiB,13.9 GiB,12.5 GiB,4.05 GiB,8 KiB
1545,30.5 GiB,14.3 GiB,12.8 GiB,3.31 GiB,8 KiB
1560,30.5 GiB,14.8 GiB,13.3 GiB,2.34 GiB,8 KiB
1575,30.5 GiB,15.3 GiB,13.8 GiB,1.37 GiB,8 KiB
1590,30.5 GiB,15.1 GiB,13.8 GiB,1.49 GiB,8 KiB
1605,30.5 GiB,15.1 GiB,13.8 GiB,1.51 GiB,8 KiB
1620,30.5 GiB,15.1 GiB,13.8 GiB,1.49 GiB,8 KiB
1635,30.5 GiB,15.1 GiB,13.9 GiB,1.49 GiB,8 KiB
1650,30.5 GiB,15.0 GiB,14.2 GiB,1.27 GiB,8 KiB
1665,30.5 GiB,15.0 GiB,14.2 GiB,1.25 GiB,8 KiB
1680,30.5 GiB,15.1 GiB,14.6 GiB,760 MiB,8 KiB
1695,30.5 GiB,15.1 GiB,14.6 GiB,768 MiB,8 KiB
1710,30.5 GiB,15.1 GiB,14.6 GiB,777 MiB,8 KiB
1725,30.5 GiB,15.1 GiB,14.6 GiB,791 MiB,8 KiB
1740,30.5 GiB,15.1 GiB,14.6 GiB,816 MiB,8 KiB
1755,30.5 GiB,17.3 GiB,12.5 GiB,750 MiB,8 KiB
1770,30.5 GiB,18.7 GiB,11.2 GiB,607 MiB,204 KiB
1785,30.5 GiB,17.0 GiB,11.1 GiB,2.37 GiB,204 KiB
1800,30.5 GiB,18.0 GiB,11.2 GiB,1.27 GiB,204 KiB
1815,30.5 GiB,17.3 GiB,11.2 GiB,2.01 GiB,204 KiB
1830,30.5 GiB,18.6 GiB,11.2 GiB,703 MiB,204 KiB
1845,30.5 GiB,15.7 GiB,11.2 GiB,3.62 GiB,204 KiB
1860,30.5 GiB,14.3 GiB,11.0 GiB,5.17 GiB,204 KiB
1875,30.5 GiB,9.91 GiB,11.0 GiB,9.57 GiB,164 KiB
