Time,RAM Total,RAM Used,RAM Cache + Buffer,RAM Free,SWAP Used
0,30.5 GiB,11.1 GiB,11.5 GiB,7.92 GiB,8 KiB
15,30.5 GiB,11.8 GiB,11.5 GiB,7.15 GiB,8 KiB
30,30.5 GiB,12.2 GiB,11.5 GiB,6.81 GiB,8 KiB
45,30.5 GiB,12.1 GiB,11.5 GiB,6.89 GiB,8 KiB
60,30.5 GiB,12.2 GiB,11.5 GiB,6.81 GiB,8 KiB
75,30.5 GiB,12.4 GiB,11.5 GiB,6.55 GiB,8 KiB
90,30.5 GiB,12.6 GiB,11.5 GiB,6.34 GiB,8 KiB
105,30.5 GiB,12.9 GiB,11.6 GiB,6.04 GiB,8 KiB
120,30.5 GiB,13.0 GiB,11.6 GiB,5.89 GiB,8 KiB
135,30.5 GiB,13.1 GiB,11.6 GiB,5.79 GiB,8 KiB
150,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
165,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
180,30.5 GiB,13.1 GiB,11.6 GiB,5.75 GiB,8 KiB
195,30.5 GiB,13.1 GiB,11.6 GiB,5.75 GiB,8 KiB
210,30.5 GiB,13.1 GiB,11.6 GiB,5.76 GiB,8 KiB
225,30.5 GiB,13.1 GiB,11.7 GiB,5.70 GiB,8 KiB
240,30.5 GiB,13.4 GiB,11.8 GiB,5.29 GiB,8 KiB
255,30.5 GiB,13.5 GiB,11.9 GiB,5.05 GiB,8 KiB
270,30.5 GiB,13.6 GiB,12.1 GiB,4.74 GiB,8 KiB
285,30.5 GiB,13.7 GiB,12.3 GiB,4.47 GiB,8 KiB
300,30.5 GiB,13.9 GiB,12.5 GiB,4.05 GiB,8 KiB
315,30.5 GiB,14.3 GiB,12.8 GiB,3.31 GiB,8 KiB
330,30.5 GiB,14.8 GiB,13.3 GiB,2.34 GiB,8 KiB
345,30.5 GiB,15.3 GiB,13.8 GiB,1.37 GiB,8 KiB
360,30.5 GiB,15.1 GiB,13.8 GiB,1.49 GiB,8 KiB
375,30.5 GiB,15.1 GiB,13.8 GiB,1.51 GiB,8 KiB
390,30.5 GiB,15.1 GiB,13.8 GiB,1.49 GiB,8 KiB
405,30.5 GiB,15.1 GiB,13.9 GiB,1.49 GiB,8 KiB
420,30.5 GiB,15.0 GiB,14.2 GiB,1.27 GiB,8 KiB
435,30.5 GiB,15.0 GiB,14.2 GiB,1.25 GiB,8 KiB
450,30.5 GiB,15.1 GiB,14.6 GiB,760 MiB,8 KiB
465,30.5 GiB,15.1 GiB,14.6 GiB,768 MiB,8 KiB
480,30.5 GiB,15.1 GiB,14.6 GiB,777 MiB,8 KiB
495,30.5 GiB,15.1 GiB,14.6 GiB,791 MiB,8 KiB
510,30.5 GiB,15.1 GiB,14.6 GiB,816 MiB,8 KiB
525,30.5 GiB,17.3 GiB,12.5 GiB,750 MiB,8 KiB
540,30.5 GiB,18.7 GiB,11.2 GiB,607 MiB,204 KiB
555,30.5 GiB,17.0 GiB,11.1 GiB,2.37 GiB,204 KiB
570,30.5 GiB,18.0 GiB,11.2 GiB,1.27 GiB,204 KiB
585,30.5 GiB,17.3 GiB,11.2 GiB,2.01 GiB,204 KiB
600,30.5 GiB,18.6 GiB,11.2 GiB,703 MiB,204 KiB
615,30.5 GiB,15.7 GiB,11.2 GiB,3.62 GiB,204 KiB
630,30.5 GiB,14.3 GiB,11.0 GiB,5.17 GiB,204 KiB
645,30.5 GiB,9.91 GiB,11.0 GiB,9.57 GiB,164 KiB
