Time,Enqueue Duration (s)
1,NaN
6,0.0000321
11,0.0000320
16,0.0000322
21,0.0000316
26,0.0000311
31,0.0000349
36,0.0000380
41,0.0000420
46,0.0000502
51,0.0000630
56,0.0000814
61,0.0000797
66,0.0000740
71,0.0000665
76,0.0000656
81,0.0000682
86,0.0000762
91,0.000111
96,0.000139
101,0.000142
106,0.000146
111,0.000146
116,0.000156
121,0.000286
126,0.000303
131,0.00147
136,0.00371
141,0.00511
146,0.00525
151,0.00338
156,0.00683
161,0.00955
166,0.00976
171,0.00892
176,0.0775
181,0.0876
186,0.0852
191,0.0360
196,0.0134
201,0.0247
206,0.0236
211,0.0266
216,0.0479
221,0.0594
226,0.0619
231,0.0439
236,0.0193
241,0.0176
246,0.0141
251,0.0122
256,0.0571
261,0.0481
266,0.0425
271,0.0695
276,0.0744
281,0.0723
286,0.00695
291,0.00832
296,0.0187
301,0.0369
306,0.0325
311,0.0293
316,0.00712
321,0.000227
326,0.000167
331,0.000164
336,0.000138
341,0.0000730
346,0.0000558
351,0.0000546
356,NaN
361,NaN
366,NaN
