Time,Enqueue Duration (s)
2,NaN
7,NaN
12,NaN
17,NaN
22,NaN
27,NaN
32,NaN
37,0.0000295
42,0.0000321
47,0.0000325
52,0.000342
57,0.000986
62,0.00163
67,0.00220
72,0.00216
77,0.00117
82,0.0000579
87,0.0000328
92,0.0000310
97,NaN
102,NaN
107,NaN
112,NaN
117,NaN
122,NaN
127,NaN
