Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
1445,273359,273359,273346
1450,273389,273359,273346
1455,273432,273359,273346
1460,273484,273359,273346
1465,273536,273359,273346
1470,273591,273359,273346
1475,273643,273359,273346
1480,273698,273359,273346
1485,273754,273359,273346
1490,273813,273359,273346
1495,273870,273359,273346
1500,273929,273359,273346
1505,273991,273359,273346
1510,274052,273359,273346
1515,274116,273359,273346
1520,274180,273359,273346
1525,274247,273359,273346
1530,274314,273359,273346
1535,274382,273359,273346
1540,274454,273359,273346
1545,274525,273359,273346
1550,274600,273359,273346
1555,274676,273359,273346
1560,274753,273359,273346
1565,274834,273359,273346
1570,274914,273359,273346
1575,275001,273359,273346
1580,275086,273359,273346
1585,275176,273359,273346
1590,275267,273359,273346
1595,275362,273359,273346
1600,275461,273359,273346
1605,275561,273359,273346
1610,275667,273359,273346
1615,275774,273359,273346
1620,275888,273359,273346
1625,276004,273359,273346
1630,276126,273359,273346
1635,276253,273359,273346
1640,276386,273359,273346
1645,276524,273359,273346
1650,276670,273359,273346
1655,276821,273359,273346
1660,276982,273359,273346
1665,277152,273359,273346
1670,277331,273359,273346
1675,277521,273359,273346
1680,277725,273359,273346
1685,277943,273359,273346
1690,278178,273359,273346
1695,278435,273359,273346
1700,278713,273359,273346
1705,279020,273359,273346
1710,279362,273359,273346
1715,279749,273359,273346
1720,280191,273359,273346
1725,280711,273359,273346
1730,281212,273359,273346
1735,281520,273359,273346
1740,281862,273359,273346
1745,282247,273359,273346
1750,282691,273359,273346
1755,282889,273359,273346
1760,282889,273359,273346
1765,282889,273359,273346
1770,282889,273359,273346
1775,282889,273359,273346
1780,282889,273359,273346
1785,282889,273359,273346
1790,282889,273359,273346
1795,282889,273359,273346
1800,282889,273359,273346
1820,8,8,
1825,17,17,
1830,25,25,
1835,25,25,
1840,25,25,
1845,25,25,
1850,25,25,
1855,25,25,
1860,25,25,
1865,25,25,
1870,36,35,30
1875,134,134,160
1880,260,260,310
1885,481,481,560
1890,731,730,810
1895,981,981,1060
1900,1221,1221,1270
1905,1374,1374,1400
1910,1498,1498,1500
1915,1529,1529,1504
1920,1529,1529,1504
1925,1529,1529,1504
1930,1529,1529,1504
1935,1529,1529,1504
1940,1529,1529,1504
1945,1529,1529,1504
1950,1725,1725,1954
1955,2387,2387,2744
1960,3323,3323,3784
1965,4547,4546,5034
1970,5795,5795,6294
1975,7047,7047,7534
1980,8101,8101,8334
1985,8692,8692,8794
1990,9004,9004,9004
1995,9033,9033,9008
2000,9033,9033,9008
2005,9033,9033,9008
2010,9033,9033,9008
2015,9033,9033,9008
2020,9033,9033,9008
2025,9033,9033,9008
2030,9033,9033,9158
2035,9696,9695,10218
2040,11340,11339,12098
2045,13481,13481,14498
2050,15984,15981,16998
2055,18482,18481,19498
2060,20982,20981,21838
2065,22821,22821,23288
2070,23678,23677,23908
2075,24035,24035,24010
2080,24035,24035,24010
2085,24035,24035,24010
2090,24035,24035,24010
2095,24035,24035,24010
2100,24035,24035,24010
2105,24035,24035,24010
2110,24035,24035,24220
2115,24613,24613,24840
2120,25316,25316,25790
2125,26523,26522,27000
2130,28115,28115,29040
2135,30418,30418,31340
2140,32701,32701,33630
2145,35001,34998,35930
2150,37296,37295,38220
2155,39625,39625,40580
2160,41989,41988,42960
2165,44400,44399,45380
2170,46823,46822,47850
2175,49371,49370,50400
2180,51921,51921,52940
2185,54444,54444,55460
2190,56971,56969,58000
2195,59535,59535,60590
2200,62130,62128,63180
2205,64772,64771,65850
2210,67445,67443,68530
2215,70182,70182,71310
2220,72981,72979,74120
2225,75785,75785,76910
2230,78582,78579,79710
2235,81383,81379,82660
2240,84552,84551,85840
2245,87797,87794,89190
2250,91279,91275,92630
2255,94878,94874,96410
2260,98693,98689,100120
2265,102405,102401,103890
2270,106121,106113,107570
2275,109786,109779,111300
2280,113557,113551,115000
2285,117310,117307,118840
2290,121077,121071,122530
2295,124803,124798,126300
2300,128556,128556,130010
2305,132260,132243,133710
2310,135899,135885,137350
2315,139497,139490,140960
2320,143226,143222,144740
2325,146960,146955,148470
2330,150680,150664,152190
2335,154378,154373,155850
2340,158075,158070,159600
2345,161766,161764,163260
2350,165512,165509,167020
2355,169254,169247,170710
2360,172902,172895,174370
2365,176550,176546,177970
2370,180162,180157,181630
2375,183857,183855,185250
2380,187398,187389,188850
2385,191044,191025,192460
2390,194615,194611,196070
2395,198247,198235,199650
2400,201794,201792,203170
2405,205364,205351,206690
2410,208943,208862,210130
2415,212201,212198,213590
2420,215464,215464,216510
2425,218103,218102,219170
2430,219853,219853,219828
2435,219853,219853,219828
2440,219853,219853,219828
2445,219853,219853,219828
2450,219853,219853,219828
2455,219853,219853,219828
2460,219853,219853,219828
2465,219855,219855,220291
2470,222191,222186,223591
2475,225807,225791,227291
2480,228905,228904,229641
2485,229853,229853,229828
2490,229853,229853,229828
2495,229853,229853,229828
2500,229853,229853,229828
2505,229853,229853,229828
2510,229853,229853,229828
2515,229863,229853,229828
2520,229882,229853,229828
2525,229932,229853,229828
2530,229985,229854,229828
2535,230037,229855,229828
2540,230089,229856,229828
2545,230144,229856,229828
2550,230199,229856,229828
2555,230256,229856,229828
2560,230313,229856,229828
2565,230373,229856,229828
2570,230430,229856,229828
2575,230491,229856,229828
2580,230554,229856,229828
2585,230616,229856,229828
2590,230681,229856,229828
2595,230749,229856,229828
2600,230815,229856,229828
2605,230884,229856,229828
2610,230956,229856,229828
2615,231029,229856,229828
2620,231102,229856,229828
2625,231179,229856,229828
2630,231257,229856,229828
2635,231338,229856,229828
2640,231419,229856,229828
2645,231505,229856,229828
2650,231590,229856,229828
2655,231680,229856,229828
2660,231773,229856,229828
2665,231868,229856,229828
2670,231966,229856,229828
2675,232068,229856,229828
2680,232174,229856,229828
2685,232282,229856,229828
2690,232395,229856,229828
2695,232513,229856,229828
2700,232635,229856,229828
2705,232763,229856,229828
2710,232895,229856,229828
2715,233035,229856,229828
2720,233180,229856,229828
2725,233334,229856,229828
2730,233496,229856,229828
2735,233667,229856,229828
2740,233846,229856,229828
2745,234038,229856,229828
2750,234243,229856,229828
2755,234462,229856,229828
2760,234701,229856,229828
2765,234959,229856,229828
2770,235241,229856,229828
2775,235551,229856,229828
2780,235899,229856,229828
2785,236291,229856,229828
2790,236744,229856,229828
2795,237277,229856,229828
2800,237741,229856,229828
2805,238050,229856,229828
2810,238399,229856,229828
2815,238791,229856,229828
2820,239239,229856,229828
2825,239239,229856,229828
2830,239239,229856,229828
2835,239239,229856,229828
2840,239239,229856,229828
2845,239239,229856,229828
2850,239239,229856,229828
2855,239239,229856,229828
2860,239239,229856,229828
2865,239239,229856,229828
2870,6,6,229828
2885,1,1,
2890,16,16,
2895,35,35,
2900,49,49,
2905,49,49,
2910,49,49,
2915,49,49,
2920,49,49,
2925,49,49,
2930,49,49,
2935,49,49,
2940,87,87,90
2945,212,212,210
2950,337,337,340
2955,480,480,500
2960,668,667,690
2965,855,855,880
2970,1007,1006,980
2975,1069,1069,1040
2980,1163,1163,1160
2985,1271,1271,1240
2990,1334,1334,1310
2995,1396,1396,1370
3000,1459,1459,1430
3005,1521,1521,1490
3010,1553,1553,1504
3015,1553,1553,1504
3020,1553,1553,1504
3025,1553,1553,1504
3030,1553,1553,1504
3035,1553,1553,1504
3040,1553,1553,1504
3045,1553,1553,1504
3050,1846,1845,2054
3055,2471,2471,2684
3060,3095,3095,3304
3065,3721,3721,3934
3070,4345,4345,4554
3075,4971,4971,5184
3080,5451,5450,5524
3085,5845,5844,6054
3090,6470,6469,6684
3095,7095,7095,7304
3100,7719,7719,7934
3105,8345,8344,8554
3110,8825,8825,8904
3115,9057,9057,9008
3120,9057,9057,9008
3125,9057,9057,9008
3130,9057,9057,9008
3135,9057,9057,9008
3140,9057,9057,9008
3145,9057,9057,9008
3150,9057,9057,9008
3155,9057,9057,9008
3160,9057,9057,9008
3165,9057,9057,9008
3170,9057,9057,9008
3175,9057,9057,9008
3180,9280,9280,9488
3185,9905,9905,10118
3190,10879,10878,11348
3195,12130,12128,12708
3200,13852,13849,14588
3205,15724,15724,16458
3210,17379,17378,17848
3215,18725,18720,19458
3220,20251,20248,20728
3225,21501,21501,21868
3230,22280,22280,22488
3235,22905,22905,23118
3240,23530,23530,23738
3245,24059,24059,24010
3250,24059,24059,24010
3255,24059,24059,24010
3260,24059,24059,24010
3265,24059,24059,24010
3270,24059,24059,24010
3275,24059,24059,24010
3280,24059,24059,24010
3285,24092,24092,24290
3290,24946,24946,25390
3295,26122,26121,26560
3300,27299,27299,27740
3305,28475,28474,28920
3310,29653,29653,30090
3315,30834,30832,31280
3320,32218,32217,32840
3325,33827,33825,34470
3330,35740,35734,36550
3335,37839,37834,38620
3340,39901,39898,40720
3345,42007,42004,42830
3350,44108,44101,44930
3355,46193,46187,47010
3360,48297,48295,49130
3365,50436,50436,51260
3370,52579,52574,53420
3375,54753,54742,55620
3380,56976,56973,57820
3385,59180,59176,60040
3390,61394,61372,62240
3395,63611,63606,64470
3400,65829,65824,66690
3405,68024,68018,68880
3410,70253,70249,71170
3415,72774,72766,73560
3420,75264,75250,76030
3425,77604,77570,78390
3430,79576,79573,80410
3435,81763,81758,82570
3440,83930,83925,84700
3445,86310,86275,87080
3450,88462,88462,89100
3455,90912,90876,91310
3460,93829,93507,93450
3465,96068,96064,95580
3470,97886,97869,97930
3475,98716,98716,98690
3480,100812,100126,100490
3485,103487,103469,102730
3490,106805,106108,104800
3495,109076,109064,107140
3500,111093,111092,109430
3505,112009,112006,111710
3510,113216,113216,113180
3515,114083,113950,114560
3520,117365,117322,116670
3525,120344,120339,118950
3530,122923,122854,121200
3535,124999,124839,123390
3540,126489,126459,125630
3545,127864,127862,127850
3550,127961,127961,128550
3555,130786,130690,130730
3560,133590,133483,132880
3565,136360,136358,135110
3570,138884,138883,137120
3575,141008,140921,139410
3580,142173,142171,141790
3585,143616,143612,143760
3590,143843,143843,144240
3595,145559,145533,146360
3600,147698,147697,148550
3605,149875,149873,150710
3610,152034,152028,152850
3615,154146,154143,154980
3620,155999,155998,156590
3625,157553,157551,158040
3630,158096,158096,158047
3635,158096,158096,158047
3640,158096,158096,158047
3645,158096,158096,158047
3650,158096,158096,158047
3655,158096,158096,158047
3660,158096,158096,158047
3665,158096,158096,158047
3670,158096,158096,158047
3675,158096,158096,158047
3680,158236,158235,159000
3685,160322,160322,161100
3690,162438,162438,163010
3695,163794,163792,164390
3700,165354,165352,165540
3705,165596,165596,165547
3710,165596,165596,165547
3715,166286,166286,166840
3720,167774,167772,168040
3725,168096,168096,168047
3730,168096,168096,168047
3735,168096,168096,168047
3740,168096,168096,168047
3745,168096,168096,168047
3750,168096,168096,168047
3755,168096,168096,168047
3760,168096,168096,168047
3765,168096,168096,168047
3770,168096,168096,168047
3775,168110,168096,168047
3780,168135,168096,168047
3785,168161,168096,168047
3790,168187,168096,168047
3795,168223,168098,168047
3800,168274,168098,168047
3805,168328,168099,168047
3810,168382,168099,168047
3815,168437,168099,168047
3820,168494,168099,168047
3825,168551,168099,168047
3830,168609,168099,168047
3835,168668,168099,168047
3840,168729,168099,168047
3845,168791,168099,168047
3850,168855,168099,168047
3855,168919,168099,168047
3860,168985,168099,168047
3865,169052,168099,168047
3870,169123,168099,168047
3875,169192,168099,168047
3880,169266,168099,168047
3885,169338,168099,168047
3890,169415,168099,168047
3895,169493,168099,168047
3900,169573,168099,168047
3905,169655,168099,168047
3910,169740,168099,168047
3915,169826,168099,168047
3920,169916,168099,168047
3925,170009,168099,168047
3930,170104,168099,168047
3935,170202,168099,168047
3940,170304,168099,168047
3945,170409,168099,168047
3950,170519,168099,168047
3955,170632,168099,168047
3960,170748,168099,168047
3965,170871,168099,168047
3970,170999,168099,168047
3975,171133,168099,168047
3980,171272,168099,168047
3985,171417,168099,168047
3990,171572,168099,168047
3995,171734,168099,168047
4000,171904,168099,168047
4005,172087,168099,168047
4010,172279,168099,168047
4015,172488,168099,168047
4020,172711,168099,168047
4025,172952,168099,168047
4030,173215,168099,168047
4035,173503,168099,168047
4040,173824,168099,168047
4045,174184,168099,168047
4050,174599,168099,168047
4055,175083,168099,168047
4060,175674,168099,168047
4065,176003,168099,168047
4070,176324,168099,168047
4075,176669,168099,168047
4080,177047,168099,168047
4085,177557,168099,168047
4090,178172,168099,168047
4095,178478,168099,168047
4100,178478,168099,168047
4105,178478,168099,168047
4110,178478,168099,168047
4115,178478,168099,168047
4120,45,45,168047
4125,45,45,168047
4130,45,45,168047
4135,45,45,168047
