Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
0,1,1,1,,,,,,,1,1,,,,,,
5,2,1,1,,,,,,,2,1,,,,,,
10,3,3,3,,,,,,,3,3,,,,,,
15,3,3,3,,,,,,,3,3,,,,,,
20,3,3,3,,,,,,,3,3,,,,,,
25,3,3,3,,,,,,,3,3,,,,,,
30,3,3,3,,,,,,,3,3,,,,,,
35,7,4,3,,,,,,,6,4,,,,,,
40,19,11,9,,,,,,,16,10,,,,,,
45,44,33,27,,,,,,,39,30,,,,,,
50,69,58,52,,,,,,,64,56,,,,,,
55,94,83,77,,,,,,,89,80,,,,,,
60,119,108,102,,,,,,,114,106,,,,,,
65,140,131,127,,,,,,,136,130,,,,,,
70,152,150,146,,,,,,,151,148,,,,,,
75,154,154,153,,,,,,,154,154,,,,,,
80,154,154,154,,,,,,,154,154,,,,,,
85,154,154,154,,,,,,,154,154,,,,,,
90,154,154,154,,,,,,,154,154,,,,,,
95,169,155,154,,,,,,,162,154,,,,,,
100,245,200,185,,,,,,,220,194,,,,,,
105,370,316,286,,,,,,,345,304,,,,,,
110,495,441,411,,,,,,,470,429,,,,,,
115,620,566,536,,,,,,,595,554,,,,,,
120,745,691,661,,,,,,,720,679,,,,,,
125,855,814,786,,,,,,,836,804,,,,,,
130,904,894,879,,,,,,,904,888,,,,,,
135,905,905,905,,,,,,,905,905,,,,,,
140,905,905,905,,,,,,,905,905,,,,,,
145,905,905,905,,,,,,,905,905,,,,,,
150,905,905,905,,,,,,,905,905,,,,,,
