Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
795,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
800,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
805,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
810,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
815,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
820,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
825,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
830,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
835,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
840,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
845,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
850,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
855,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
860,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
865,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
870,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
875,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
880,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
885,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
890,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
895,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
900,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
905,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
910,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
915,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
920,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
925,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
930,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
935,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
940,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
945,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
950,23.0 K,23.0 K,23.0 K,,,,,,,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,23.0 K,,
