Time,Enqueue Duration (s)
2,0.0000351
7,NaN
12,NaN
17,0.0000328
22,0.0000297
27,0.0000299
32,0.0000298
37,0.0000300
42,0.0000299
47,0.0000304
52,0.0000310
57,0.0000320
62,0.0000324
67,0.0000324
72,NaN
77,NaN
82,NaN
87,NaN
