Time,Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s)
2,0.000313,0.000290,,,,,,,0.000300,0.000206,0.000302,0.000564,0.000340,0.000275,,
7,0.000121,NaN,,,,,,,NaN,NaN,NaN,0.000199,NaN,NaN,,
12,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
17,NaN,NaN,,,,,,,NaN,0.000386,0.000471,NaN,NaN,NaN,,
22,0.000399,0.000316,,,,,,,0.000315,0.000314,0.000326,0.000292,0.000318,0.000308,,
27,0.000356,0.000309,,,,,,,0.000328,0.000313,0.000321,0.000315,0.000325,0.000324,,
32,0.000365,0.000327,,,,,,,0.000349,0.000336,0.000338,0.000334,0.000328,0.000326,,
37,0.000360,0.000334,,,,,,,0.000367,0.000341,0.000357,0.000342,0.000354,0.000343,,
42,0.000368,0.000348,,,,,,,0.000369,0.000346,0.000379,0.000352,0.000350,0.000343,,
47,0.000374,0.000349,,,,,,,0.000370,0.000352,0.000387,0.000356,0.000364,0.000363,,
52,0.000395,0.000370,,,,,,,0.000376,0.000369,0.000398,0.000382,0.000361,0.000367,,
57,0.000406,0.000382,,,,,,,0.000398,0.000394,0.000404,0.000401,0.000389,0.000388,,
62,0.000414,0.000413,,,,,,,0.000422,0.000392,0.000412,0.000432,0.000405,0.000386,,
67,0.000384,0.000395,,,,,,,0.000425,0.000378,0.000404,0.000427,0.000411,0.000384,,
72,0.000305,0.000208,,,,,,,0.000309,0.000177,0.000156,0.000394,0.000169,0.000150,,
77,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
82,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
87,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
