Time,Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s),Block Processing Time (s)
3,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
8,0.000431,0.000485,,,,,,,0.000444,0.000413,0.000434,0.000432,0.000418,0.000391,,
13,0.000445,0.000470,,,,,,,0.000465,0.000450,0.000426,0.000444,0.000421,0.000407,,
18,0.000467,0.000461,,,,,,,0.000448,0.000460,0.000444,0.000433,0.000426,0.000420,,
23,0.000484,0.000453,,,,,,,0.000453,0.000484,0.000464,0.000462,0.000449,0.000442,,
28,0.000496,0.000467,,,,,,,0.000458,0.000483,0.000485,0.000472,0.000476,0.000453,,
33,0.000496,0.000477,,,,,,,0.000471,0.000496,0.000483,0.000492,0.000493,0.000475,,
38,0.000483,0.000490,,,,,,,0.000469,0.000477,0.000465,0.000486,0.000481,0.000462,,
43,0.000468,0.000480,,,,,,,0.000460,0.000474,0.000451,0.000479,0.000470,0.000464,,
48,0.000457,0.000474,,,,,,,0.000448,0.000444,0.000448,0.000471,0.000461,0.000435,,
53,0.000451,0.000463,,,,,,,0.000444,0.000454,0.000476,0.000461,0.000490,0.000461,,
58,0.000452,0.000460,,,,,,,0.000452,0.0000787,0.0000998,0.000489,0.000476,0.000372,,
63,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
68,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
