Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
3,10.6,10.4,,,,,,,10.3,10.1,10.1,11.3,10.9,11.9,,,10.7,10.6,,,,,,,10,10.3,9.93,11.5,10.7,11.8,,
8,14.9,17.6,,,,,,,17.6,27.4,26.1,16,18.1,22.1,,,14.9,17.2,,,,,,,17.8,29.7,26.2,16.3,16.5,21.8,,
13,38.1,45.5,,,,,,,42.4,55.5,53.1,39.8,45.3,49.9,,,38.6,45.5,,,,,,,43.5,59.4,53,39.7,41.8,50.5,,
18,79,92.1,,,,,,,89,108,105,82.4,92.4,98.3,,,80.4,92.5,,,,,,,88.9,111,104,81.8,87.4,99.2,,
23,127,136,,,,,,,134,143,141,129,137,140,,,131,136,,,,,,,132,145,138,128,133,141,,
28,156,160,,,,,,,161,168,167,157,162,163,,,158,160,,,,,,,160,170,167,156,160,162,,
33,167,166,,,,,,,166,167,167,166,168,168,,,167,166,,,,,,,167,170,169,165,166,166,,
38,163,159,,,,,,,162,153,154,162,161,157,,,161,159,,,,,,,163,155,156,163,157,155,,
43,142,136,,,,,,,137,124,126,140,135,132,,,141,136,,,,,,,138,123,128,141,130,132,,
48,104,90,,,,,,,94.7,76.1,78.2,101,90.3,82.8,,,105,90.7,,,,,,,94.5,74.8,78.4,103,86.1,83.6,,
53,57.3,47.2,,,,,,,48.7,38.3,39.7,54.6,46.4,43.1,,,57.5,49.3,,,,,,,49.2,36,40.6,55.6,44.9,43.4,,
58,26.3,19.4,,,,,,,21.8,14.6,14.4,24.7,20.1,16,,,26.5,19.5,,,,,,,21.5,14.1,14.3,26.7,20.3,15.5,,
63,12.5,12.5,,,,,,,11.7,10.5,10.3,12.3,12.5,12.2,,,13.1,12.2,,,,,,,12.1,10.8,10.6,12.7,13,11.5,,
68,10.1,10.5,,,,,,,11.3,11.3,10.9,10.3,11.3,10.9,,,10.2,10.1,,,,,,,11.7,11.7,11.9,9.87,11.3,10.7,,
