Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
3,0.400,0.0667,1.07,0.867,,,,,,,0.800,0.867,0.933,0.867,0.933,1.07,,
8,0.333,5.53,4.13,2.73,,,,,,,2.53,4.80,4.47,2.13,2.87,3.67,,
13,0.333,15.1,18.3,9.20,,,,,,,8.73,11.9,11.1,8.07,9.07,10.1,,
18,0.267,32.5,43.5,21.1,,,,,,,20.1,25.2,24.5,18.3,20.7,22.8,,
23,0.333,45.1,74.9,32.9,,,,,,,32.0,35.3,34.8,30.7,32.5,34.1,,
28,0.400,53.2,95.8,40.4,,,,,,,39.9,42.1,41.9,38.9,40.2,41.1,,
33,0.467,53.7,105,42.2,,,,,,,42.0,42.1,42.3,42.1,42.1,42.1,,
38,0.467,46.6,101,39.6,,,,,,,39.8,36.9,37.6,40.4,39.5,38.0,,
43,0.333,35.7,82.9,32.3,,,,,,,32.5,29.1,30.3,33.4,32.1,31.3,,
48,0.400,17.9,56.5,20,,,,,,,21.0,15.8,16.7,22.7,20.1,18.1,,
53,0.267,7.07,26.1,9.00,,,,,,,9.67,7.00,7.47,10.7,9.00,8.20,,
58,0.333,0.133,8.73,2.33,,,,,,,3.00,1.00,1.00,3.80,2.40,1.53,,
63,0.267,0.200,1.000,0.933,,,,,,,0.933,0.867,0.867,0.933,0.933,0.933,,
68,0.333,0.133,1.13,0.867,,,,,,,0.933,0.867,0.867,0.800,0.867,0.933,,
