Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
2,0.333,0.0667,1.27,0.867,,,,,,,0.800,0.933,0.867,0.800,0.867,1.00,,
7,0.333,0.200,1.33,0.800,,,,,,,0.800,0.933,0.933,0.867,1.07,1.000,,
12,0.333,1.20,2.13,1.47,,,,,,,1.33,1.60,1.53,1.20,1.47,1.53,,
17,0.267,2.60,4.47,2.40,,,,,,,2.27,2.53,2.60,2.20,2.40,2.33,,
22,0.267,3.78,7.40,3.40,,,,,,,3.20,3.60,3.53,3.13,3.27,3.47,,
27,0.267,4.27,9.33,3.80,,,,,,,3.80,4.00,4.00,3.80,3.93,3.93,,
32,0.333,4.53,10.3,4.07,,,,,,,4.07,4.27,4.20,3.93,4.20,4.27,,
37,0.400,5,11.1,4.40,,,,,,,4.40,4.60,4.60,4.40,4.47,4.40,,
42,0.333,4.53,11.2,4.33,,,,,,,4.27,4.20,4.20,4.33,4.20,4.27,,
47,0.333,3.40,9.74,3.60,,,,,,,3.67,3.47,3.47,3.87,3.60,3.53,,
52,0.333,2.20,7.07,2.73,,,,,,,2.73,2.33,2.47,2.80,2.67,2.73,,
57,0.333,1.73,5,2.13,,,,,,,2.20,2.13,2.00,2.27,2.27,2.27,,
62,0.333,1.27,4.00,2.00,,,,,,,2.00,1.73,1.67,2.00,1.87,2.00,,
67,0.267,0.600,2.93,1.67,,,,,,,1.67,1.47,1.47,1.67,1.53,1.60,,
