Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
0,0.000547,0.000536,,,,,,,0.000526,0.000533,,,,,,
5,NaN,NaN,,,,,,,NaN,NaN,,,,,,
10,0.000605,0.000572,,,,,,,0.000828,0.000648,,,,,,
15,0.000626,0.000594,,,,,,,0.000623,0.000619,,,,,,
20,0.000615,0.000611,,,,,,,0.000613,0.000609,,,,,,
25,0.000611,0.000616,,,,,,,0.000607,0.000605,,,,,,
30,0.000604,0.000622,,,,,,,0.000607,0.000597,,,,,,
35,0.000599,0.000620,,,,,,,0.000610,0.000615,,,,,,
40,0.000607,0.000636,,,,,,,0.000615,0.000627,,,,,,
45,0.000625,0.000673,,,,,,,0.000647,0.000678,,,,,,
50,0.000664,0.000716,,,,,,,0.000669,0.000701,,,,,,
