Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
4,0.000603,0.000638,,,,,,,0.000591,0.000647,,,,,,
9,NaN,NaN,,,,,,,NaN,NaN,,,,,,
14,NaN,NaN,,,,,,,NaN,NaN,,,,,,
19,NaN,NaN,,,,,,,NaN,NaN,,,,,,
24,NaN,NaN,,,,,,,NaN,NaN,,,,,,
29,NaN,NaN,,,,,,,NaN,NaN,,,,,,
34,NaN,NaN,,,,,,,NaN,NaN,,,,,,
39,NaN,NaN,,,,,,,NaN,NaN,,,,,,
44,NaN,NaN,,,,,,,NaN,NaN,,,,,,
49,NaN,NaN,,,,,,,NaN,NaN,,,,,,
54,NaN,NaN,,,,,,,NaN,NaN,,,,,,
59,NaN,NaN,,,,,,,NaN,NaN,,,,,,
64,NaN,NaN,,,,,,,NaN,NaN,,,,,,
69,NaN,NaN,,,,,,,NaN,NaN,,,,,,
74,NaN,NaN,,,,,,,NaN,NaN,,,,,,
79,NaN,NaN,,,,,,,NaN,NaN,,,,,,
84,NaN,NaN,,,,,,,NaN,NaN,,,,,,
89,NaN,NaN,,,,,,,NaN,NaN,,,,,,
94,NaN,NaN,,,,,,,NaN,NaN,,,,,,
99,NaN,NaN,,,,,,,NaN,NaN,,,,,,
104,NaN,NaN,,,,,,,NaN,NaN,,,,,,
109,NaN,NaN,,,,,,,NaN,NaN,,,,,,
114,NaN,NaN,,,,,,,NaN,NaN,,,,,,
119,NaN,NaN,,,,,,,NaN,NaN,,,,,,
124,NaN,NaN,,,,,,,NaN,NaN,,,,,,
129,NaN,NaN,,,,,,,NaN,NaN,,,,,,
134,NaN,NaN,,,,,,,NaN,NaN,,,,,,
139,NaN,NaN,,,,,,,NaN,NaN,,,,,,
144,NaN,NaN,,,,,,,NaN,NaN,,,,,,
149,NaN,NaN,,,,,,,NaN,NaN,,,,,,
154,NaN,NaN,,,,,,,NaN,NaN,,,,,,
159,NaN,NaN,,,,,,,NaN,NaN,,,,,,
164,NaN,NaN,,,,,,,NaN,NaN,,,,,,
169,NaN,NaN,,,,,,,NaN,NaN,,,,,,
174,NaN,NaN,,,,,,,NaN,NaN,,,,,,
179,NaN,NaN,,,,,,,NaN,NaN,,,,,,
184,NaN,NaN,,,,,,,NaN,NaN,,,,,,
189,NaN,NaN,,,,,,,NaN,NaN,,,,,,
194,NaN,NaN,,,,,,,NaN,NaN,,,,,,
199,NaN,NaN,,,,,,,NaN,NaN,,,,,,
204,NaN,NaN,,,,,,,NaN,NaN,,,,,,
209,NaN,NaN,,,,,,,NaN,NaN,,,,,,
214,NaN,NaN,,,,,,,NaN,NaN,,,,,,
219,NaN,NaN,,,,,,,NaN,NaN,,,,,,
224,NaN,NaN,,,,,,,NaN,NaN,,,,,,
229,NaN,NaN,,,,,,,NaN,NaN,,,,,,
234,NaN,NaN,,,,,,,NaN,NaN,,,,,,
239,NaN,NaN,,,,,,,NaN,NaN,,,,,,
244,NaN,NaN,,,,,,,NaN,NaN,,,,,,
249,NaN,NaN,,,,,,,NaN,NaN,,,,,,
254,NaN,NaN,,,,,,,NaN,NaN,,,,,,
259,NaN,NaN,,,,,,,NaN,NaN,,,,,,
264,NaN,NaN,,,,,,,NaN,NaN,,,,,,
269,NaN,NaN,,,,,,,NaN,NaN,,,,,,
274,NaN,NaN,,,,,,,NaN,NaN,,,,,,
279,NaN,NaN,,,,,,,NaN,NaN,,,,,,
284,NaN,NaN,,,,,,,NaN,NaN,,,,,,
289,NaN,NaN,,,,,,,NaN,NaN,,,,,,
294,NaN,NaN,,,,,,,NaN,NaN,,,,,,
299,NaN,NaN,,,,,,,NaN,NaN,,,,,,
304,NaN,NaN,,,,,,,NaN,NaN,,,,,,
309,NaN,NaN,,,,,,,NaN,NaN,,,,,,
314,NaN,NaN,,,,,,,NaN,NaN,,,,,,
319,NaN,NaN,,,,,,,NaN,NaN,,,,,,
324,NaN,NaN,,,,,,,NaN,NaN,,,,,,
329,NaN,NaN,,,,,,,NaN,NaN,,,,,,
334,NaN,NaN,,,,,,,NaN,NaN,,,,,,
339,NaN,NaN,,,,,,,NaN,NaN,,,,,,
344,NaN,NaN,,,,,,,NaN,NaN,,,,,,
349,NaN,NaN,,,,,,,NaN,NaN,,,,,,
354,NaN,NaN,,,,,,,NaN,NaN,,,,,,
359,NaN,NaN,,,,,,,NaN,NaN,,,,,,
364,NaN,NaN,,,,,,,NaN,NaN,,,,,,
369,NaN,NaN,,,,,,,NaN,NaN,,,,,,
374,NaN,NaN,,,,,,,NaN,NaN,,,,,,
379,NaN,NaN,,,,,,,NaN,,,,,,,
394,NaN,NaN,,,,,,,NaN,0.000530,0.000737,NaN,NaN,0.000540,,
399,0.000622,0.000566,,,,,,,0.000588,0.000609,0.000702,0.000598,0.000603,0.000697,,
404,0.000622,0.000566,,,,,,,0.000588,0.000609,0.000695,0.000598,0.000603,0.000697,,
409,0.000622,0.000566,,,,,,,0.000588,0.000689,0.000666,0.000598,0.000603,0.000854,,
414,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
419,NaN,NaN,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,
