Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,NaN,0.00276,NaN,NaN,NaN,NaN,0.00110,0.00183,NaN,0.00192,0.000912,NaN,0.000939,0.00117,0.00173,NaN
42,0.00111,0.00123,0.000731,0.000850,0.001000,0.00134,0.000942,0.00123,0.00110,0.00139,0.00101,0.000954,0.00102,0.00108,0.000983,0.000790
47,0.00111,0.00108,0.000847,0.000929,0.00102,0.00103,0.000928,0.00110,0.00105,0.00122,0.000972,0.00103,0.000926,0.000946,0.000866,0.000871
52,0.00106,0.000946,0.000874,0.000887,0.00112,0.000996,0.000975,0.00103,0.00102,0.00119,0.00101,0.00107,0.000940,0.000878,0.000869,0.000922
57,0.000968,0.000943,0.000964,0.000866,0.00104,0.000951,0.000968,0.000917,0.00105,0.00107,0.000959,0.00112,0.000989,0.000846,0.000860,0.00103
62,0.00102,0.00103,0.00102,0.000887,0.00104,0.000979,0.000948,0.000929,0.000996,0.00104,0.000962,0.00103,0.00103,0.000961,0.000932,0.00100
67,0.000992,0.00105,0.00104,0.000904,0.00103,0.000975,0.000988,0.000905,0.00102,0.000991,0.00102,0.000992,0.00102,0.00102,0.000914,0.000999
72,0.00108,0.000987,0.00101,0.000978,0.00108,0.000943,0.00101,0.000954,0.000996,0.00101,0.00107,0.000952,0.000997,0.00105,0.00102,0.000978
77,0.00104,0.000980,0.00102,0.000987,0.00110,0.000976,0.00102,0.000929,0.00100,0.00104,0.00106,0.000982,0.000999,0.00102,0.00101,0.000999
82,0.00108,0.000913,0.00102,0.000988,0.00106,0.000995,0.000975,0.00102,0.000998,0.00106,0.00102,0.000986,0.000945,0.000974,0.00105,0.00102
87,0.00106,0.000941,0.00103,0.000958,0.000991,0.000977,0.000978,0.000972,0.000997,0.00106,0.000970,0.00102,0.000946,0.000938,0.000974,0.00102
92,0.00107,0.000869,0.000967,0.00102,0.000969,0.000924,0.00103,0.00104,0.000992,0.00106,0.00101,0.00104,0.000853,0.000896,0.000946,0.00101
97,0.00106,0.000904,0.000952,0.00107,0.000953,0.000894,0.00107,0.000978,0.000901,0.00102,0.000910,0.00101,0.000917,0.000893,0.000919,0.000930
102,0.000986,0.000967,0.000958,0.00113,0.00105,0.000910,0.00114,0.00106,0.000840,0.000950,0.000950,0.000997,0.000838,0.000922,0.000864,0.000920
107,0.000982,0.000987,0.00101,0.000924,0.000955,0.000948,0.000992,0.00108,0.000797,0.000882,0.000721,0.000848,0.000982,0.000900,0.000906,0.000944
112,0.000981,0.000795,0.000777,0.000839,0.00104,0.000714,NaN,NaN,0.000701,NaN,NaN,0.000883,0.000684,0.000877,0.000667,0.00123
117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
