Time,node_exporter:9100 (MiB),orderer.dwntp.com:8443 (MiB),peer0.org1.dwntp.com:9443 (MiB),peer1.org1.dwntp.com:9443 (MiB),peer10.org1.dwntp.com:9443 (MiB),peer11.org1.dwntp.com:9443 (MiB),peer12.org1.dwntp.com:9443 (MiB),peer13.org1.dwntp.com:9443 (MiB),peer14.org1.dwntp.com:9443 (MiB),peer15.org1.dwntp.com:9443 (MiB),peer2.org1.dwntp.com:9443 (MiB),peer3.org1.dwntp.com:9443 (MiB),peer4.org1.dwntp.com:9443 (MiB),peer5.org1.dwntp.com:9443 (MiB),peer6.org1.dwntp.com:9443 (MiB),peer7.org1.dwntp.com:9443 (MiB),peer8.org1.dwntp.com:9443 (MiB),peer9.org1.dwntp.com:9443 (MiB)
3,23.9,112,168,163,,,,,,,172,164,167,166,164,163,,
8,24.5,87.9,168,171,,,,,,,177,166,172,168,168,164,,
13,23.6,97.1,173,169,,,,,,,177,172,171,170,165,167,,
18,23.9,116,182,175,,,,,,,179,170,174,176,172,172,,
23,23.4,101,188,175,,,,,,,181,181,183,176,170,179,,
28,23.7,79.4,204,189,,,,,,,199,195,195,192,186,190,,
33,24.3,105,202,189,,,,,,,200,198,198,197,191,194,,
38,23.3,71.8,203,192,,,,,,,204,203,201,198,195,199,,
43,23.9,88.9,199,187,,,,,,,197,198,197,193,195,190,,
48,23.3,89.6,202,188,,,,,,,200,198,197,194,195,193,,
53,23.6,90.2,202,188,,,,,,,200,198,197,194,195,193,,
58,23.7,90.2,202,188,,,,,,,200,199,197,194,195,194,,
63,23.4,90.2,202,189,,,,,,,200,199,197,194,195,194,,
68,23.7,90.2,202,189,,,,,,,202,199,198,194,195,194,,
