Time,Avg Endorsement Latency
0,NaN
5,NaN
10,NaN
15,0.0014066346423357648
20,0.0016333886612665233
25,0.0018284478301362947
30,0.0018817277972291702
35,0.001984821773137338
40,0.0019616253246621113
45,0.0019712588423652653
50,0.0019372528287036903
55,0.0019276588770563013
60,0.0019383831567460744
65,0.0020098739294846318
70,0.002032850553987548
75,0.0020446918250492233
80,0.002012944156266391
85,0.0020281846904231116
90,0.0020241196848095507
95,0.002069515046252502
100,0.002099247134130399
105,0.002256030988863561
110,0.0023279194523430262
115,0.0023822659694291166
120,0.0023447384273666064
125,0.00236523541104515
130,0.002358599948748301
135,0.0023756242094762053
140,0.0024334038215111896
145,0.004417634352267937
150,0.008315059275943806
155,0.010902676454521358
160,0.013151849013833473
165,0.01329846954666912
170,0.013544641013861424
175,0.012292242770679768
180,0.011817183489720329
185,0.01146797464880421
190,0.012979082833787348
195,0.01227967886646799
200,0.01273856027053978
205,0.012618537534580096
210,0.013598330901955504
215,0.013379084195123767
220,0.013707066894170292
225,0.012817991719039785
230,0.014196952126334206
235,0.012339624692273387
240,0.013668023782288203
245,0.011941307766669514
250,0.013276188544623356
255,0.011675072767378069
260,0.013609582668019983
265,0.01236963322341533
270,0.01495135785363447
275,0.013044319826861562
280,0.014059431245717756
285,0.0118090942204679
290,0.013872917065364034
295,0.014405321437950381
300,0.014916999094024377
305,0.015151669093978758
310,0.013250002091705154
315,0.013267819467969816
320,0.009421357520914166
325,0.009353768690042917
330,0.002321293482089135
335,NaN
340,NaN
345,NaN
