Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
4,24141,24139,24592
9,26250,26249,26862
14,28695,28694,29312
19,31149,31148,31762
24,33597,33597,34202
29,36047,36047,36662
34,38499,38498,39112
39,40950,40949,41562
44,43407,43407,44022
49,46062,46062,46762
54,48853,48851,49552
59,51647,51646,52342
64,54433,54432,55122
69,57219,57219,57922
74,60012,60012,60712
79,62803,62802,63502
84,65596,65595,66292
89,68501,68501,69282
94,71692,71691,72492
99,74895,74895,75702
104,78094,78090,78902
109,81312,81309,82112
114,84522,84522,85322
119,87717,87717,88522
124,90932,90932,91732
129,94299,94298,95592
134,99516,99515,100862
139,104901,104900,106242
144,110300,110300,111652
149,115709,115709,117062
154,121100,121098,122442
159,126486,126481,127842
164,131919,131915,133292
169,137356,137351,138712
174,142777,142771,144142
179,148186,148182,149562
184,153644,153641,154992
189,159034,159031,160392
194,164426,164421,165792
199,169844,169840,171212
204,175278,175273,176642
209,180704,180701,182072
214,186119,186117,187482
219,191555,191551,192922
224,197032,197028,198392
229,202465,202462,203802
234,207841,207841,209202
239,213258,213257,214612
244,218693,218690,220052
249,224103,224101,225472
254,229559,229557,230922
259,235007,235006,236372
264,240421,240420,241772
269,245831,245829,247192
274,251275,251271,252612
279,256688,256687,258052
284,262133,262132,263512
289,267563,267559,268922
294,272963,272963,274322
299,278345,278342,279722
304,283562,283561,284232
309,284976,284976,284969
314,284976,284976,284969
