Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
2,0,0,
7,0,0,
12,0,0,
17,0,0,
22,0,0,
27,0,0,
32,0,0,
37,0,0,
42,3.7795300000000003,3.7795300000000003,4.7793125
47,7.5410699999999995,7.5410699999999995,7.32318125
52,11.36328,11.36328,10.388327083333333
57,15.133333333333333,15.133333333333333,16.700708333333335
62,23.6,23.6,24.958333333333336
67,31.8,31.8,33.333333333333336
72,37.53333333333333,37.53333333333333,37.41666666666667
77,37.333333333333336,37.333333333333336,37.54166666666667
82,37.53333333333333,37.53333333333333,37.458333333333336
87,34.86666666666667,34.86666666666667,33.333333333333336
92,26.666666666666668,26.666666666666668,25.041666666666668
97,18.2,18.2,16.316666666666666
102,8.8,8.8,8.391666666666666
107,4.6,4.6,4.183333333333334
112,0.4666666666666667,0.4666666666666667,0.5333333333333333
117,0,0,0
122,0,0,0
127,0,0,0
132,0,0,0
137,0,0,0
142,0,0,0
147,0,0,0
