Time,node_exporter:9100,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
1,24735744,120406016,255930368,240414720,234598400,236077056,250707968,237928448,236318720,250327040,249536512,245727232,227958784,242515968,243220480,244674560,233361408,238034944
6,24416256,120406016,255930368,240939008,234598400,236077056,251363328,238583808,228532224,250327040,249536512,245727232,228614144,243171328,243220480,245329920,234016768,238034944
11,24231936,120406016,255930368,240939008,234598400,236077056,252018688,238583808,228532224,250327040,250191872,245727232,228614144,243826688,243875840,245985280,234016768,238690304
16,24756224,120406016,256585728,240939008,234598400,236077056,252674048,239239168,228532224,250982400,250191872,245727232,228614144,240037888,243875840,245985280,234016768,238690304
21,24756224,120406016,257241088,239882240,235253760,236077056,253329408,239239168,228532224,250982400,250191872,245727232,228614144,240037888,244531200,246640640,234016768,238821376
26,25280512,120406016,257896448,239882240,235778048,236077056,253329408,239239168,228532224,250982400,250847232,245727232,228614144,240037888,245186560,246640640,234016768,239476736
31,25497600,120406016,257896448,239882240,235778048,236077056,253329408,239239168,228532224,250982400,250847232,245727232,228614144,240037888,245186560,245059584,234672128,239476736
36,24330240,120406016,257896448,239882240,235778048,236077056,253329408,239894528,228532224,250982400,250847232,245727232,228614144,240037888,245186560,245059584,234672128,239476736
41,24588288,120406016,257896448,239882240,235778048,236077056,240713728,239894528,228663296,250982400,250847232,246382592,229007360,240037888,245186560,245059584,235327488,239476736
46,24354816,120406016,257896448,239882240,235778048,236077056,240713728,239894528,228663296,250982400,250847232,246382592,229007360,240037888,245186560,245059584,235327488,239476736
51,24879104,120406016,362819584,239882240,235778048,236077056,240713728,239894528,228663296,250982400,250847232,246382592,229007360,240037888,245186560,245059584,235327488,239476736
56,24424448,120406016,658046976,239882240,235778048,236077056,240713728,239894528,228663296,250982400,246120448,246382592,229007360,240037888,245186560,245059584,235327488,239476736
61,24686592,120406016,1315467264,239882240,235778048,236077056,240713728,226349056,228663296,250982400,246120448,246382592,229007360,240037888,245186560,245190656,235327488,239476736
66,24662016,120406016,1787994112,239882240,235778048,236077056,240713728,226349056,228663296,250982400,246120448,243728384,229007360,240037888,245186560,245190656,235327488,239476736
71,24793088,120406016,2216857600,239882240,235778048,236339200,240713728,226349056,228663296,236318720,246120448,243728384,219885568,240037888,245186560,245190656,235327488,239476736
76,24354816,104284160,2549841920,239882240,235778048,236339200,240713728,226349056,215162880,222687232,246120448,230096896,206385152,240037888,245186560,231559168,221827072,239476736
81,25403392,100007936,3131904000,217075712,212578304,199852032,217513984,206950400,205463552,213118976,223313920,220528640,197079040,216838144,222117888,221990912,212258816,206811136
86,25374720,100139008,1847304192,217731072,212578304,199852032,217513984,204238848,205463552,213118976,223313920,220528640,197079040,216838144,222117888,221990912,212258816,203272192
91,25059328,100139008,1790959616,217731072,191131648,199852032,218169344,204238848,205463552,213118976,223313920,220528640,197079040,216838144,222117888,221990912,212258816,203272192
96,24891392,100270080,1816268800,217731072,191131648,199852032,218169344,204238848,187355136,213381120,223313920,220528640,197079040,216838144,222117888,222646272,212258816,203272192
101,25153536,100429824,1842888704,217731072,191131648,199852032,218169344,204894208,187355136,214036480,223313920,220659712,197079040,216838144,222117888,222646272,212258816,203272192
106,24817664,100909056,1833070592,217731072,191787008,199852032,218169344,204894208,187355136,214036480,223707136,220659712,197079040,216838144,222117888,222646272,212258816,203272192
111,25210880,102191104,1802547200,217915392,191787008,199852032,218824704,204894208,187510784,214843392,223858688,220938240,197234688,216838144,222273536,222814208,212393984,203272192
