Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
0,2.86,2.67,,,,,,,2.72,2.45,,,,,,,2.86,2.67,,,,,,,2.72,2.45,,,,,,
5,5.41,4.58,,,,,,,6.53,4.93,,,,,,,5.60,4.65,,,,,,,6.47,4.73,,,,,,
10,9.79,9.10,,,,,,,9.22,8.93,,,,,,,9.85,9.16,,,,,,,9.16,8.75,,,,,,
15,11.3,10.5,,,,,,,10.6,11.5,,,,,,,11.5,10.6,,,,,,,10.5,11.3,,,,,,
20,10.3,11.1,,,,,,,8.80,10.7,,,,,,,10.3,11.1,,,,,,,8.80,10.7,,,,,,
25,7.93,8,,,,,,,8.20,8.40,,,,,,,8.07,8,,,,,,,8.20,8.40,,,,,,
30,7.93,8.13,,,,,,,8.20,7.40,,,,,,,7.93,8.13,,,,,,,8.20,7.40,,,,,,
35,8.40,7.40,,,,,,,8,8.40,,,,,,,8.40,7.40,,,,,,,8,8.40,,,,,,
40,9.60,10,,,,,,,10.6,9.80,,,,,,,9.60,10,,,,,,,10.6,9.80,,,,,,
45,14.9,13.4,,,,,,,17.2,14.3,,,,,,,14.9,13.4,,,,,,,17.2,14.4,,,,,,
50,20.9,19.8,,,,,,,22.2,19.6,,,,,,,20.7,19.8,,,,,,,22.2,19.6,,,,,,
55,25,22.9,,,,,,,24.4,24.6,,,,,,,25,22.9,,,,,,,24.4,24.6,,,,,,
60,24.8,25.6,,,,,,,24.2,25.5,,,,,,,24.8,25.6,,,,,,,24.2,25.4,,,,,,
65,24.3,24.8,,,,,,,25,24.9,,,,,,,24.5,24.8,,,,,,,25,24.9,,,,,,
70,23.5,24.3,,,,,,,23,22.8,,,,,,,23.3,24.3,,,,,,,23,22.8,,,,,,
75,19.8,19.4,,,,,,,17.8,20.2,,,,,,,19.8,19.4,,,,,,,17.8,20.2,,,,,,
80,14.4,16,,,,,,,12.8,15.1,,,,,,,14.4,16,,,,,,,12.8,15.1,,,,,,
85,9.93,10.8,,,,,,,10,10.7,,,,,,,10.1,10.8,,,,,,,10,10.7,,,,,,
90,8.53,9.60,,,,,,,8.80,8,,,,,,,8.53,9.60,,,,,,,8.80,8,,,,,,
95,8.40,7.47,,,,,,,9,8.20,,,,,,,8.40,7.47,,,,,,,9,8.20,,,,,,
100,17.2,15,,,,,,,21.2,16.5,,,,,,,17.2,15,,,,,,,21.2,16.5,,,,,,
105,41.3,35,,,,,,,48.2,38.9,,,,,,,41.3,35,,,,,,,48.2,38.9,,,,,,
110,67.3,61.3,,,,,,,72.2,64.2,,,,,,,67.1,61.3,,,,,,,72.2,64.2,,,,,,
115,83.9,79.5,,,,,,,84.8,82.6,,,,,,,83.9,79.5,,,,,,,84.8,82.7,,,,,,
120,84.9,85.7,,,,,,,84.2,85.3,,,,,,,84.9,85.7,,,,,,,84.2,85.5,,,,,,
125,84.5,85,,,,,,,83.7,85.1,,,,,,,84.6,84.9,,,,,,,83.7,85.2,,,,,,
130,75.7,79.3,,,,,,,72.4,76,,,,,,,75.6,79.2,,,,,,,72.4,76,,,,,,
135,53.4,58.1,,,,,,,46.8,55.8,,,,,,,53.5,58,,,,,,,46.8,55.8,,,,,,
140,27.4,33.8,,,,,,,22.5,29.9,,,,,,,27.4,33.8,,,,,,,22.5,29.9,,,,,,
145,10.7,13.8,,,,,,,8.93,12.3,,,,,,,10.9,13.8,,,,,,,8.93,12.3,,,,,,
150,7.93,8.80,,,,,,,8.20,7.40,,,,,,,7.93,8.80,,,,,,,8.20,7.40,,,,,,
155,13.2,8.80,,,,,,,15.4,12,,,,,,,13.2,8.80,,,,,,,15.4,12,,,,,,
